Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
42,905790,69478
202,1344328,508016
401,1207664,371352
615,686251,0
813,699546,0
1012,920902,84590
1211,964904,128592
1425,679950,0
1611,915034,78722
1811,879690,43378
2019,765277,0
2224,789079,0
2428,755966,0
2632,741666,0
2825,744937,0
3022,1229216,392904
3219,1384266,547954
3423,1510410,674098
3621,1776383,940071
3829,750261,0
4037,803716,0
4244,691908,0
4435,859379,23067
4634,861689,25377
4837,789497,0
5051,715342,0
5252,719335,0
5450,804830,0
5656,770572,0
5859,766929,0
6063,705221,0
6263,708569,0
6460,784256,0
6661,845143,8831
6864,837882,1570
7023,704105,0
7222,729770,0
7423,692946,0
7618,849983,13671
7828,694062,0
8025,788646,0
8231,714316,0
8419,1204280,367968
8628,769782,0
8831,730081,0
9034,760860,0
9229,878745,42433
9441,724173,0
9643,917463,81151
9844,728200,0
10046,769206,0
10251,698526,0
10440,864504,28192
10654,713321,0
10849,898386,62074
11051,712388,0
11256,696294,0
11454,775515,0
11655,688205,0
11856,738426,0
12062,730325,0
12262,821046,0
12468,682904,0
12661,785071,0
12871,730212,0
13067,845143,8831
13279,759485,0
13479,817852,0
13679,857244,20932
13882,748146,0
14094,707533,0
14240,835626,0
14441,736806,0
14631,920902,84590
14844,767871,0
15045,897920,61608
15249,734336,0
15457,898245,61933
15657,777306,0
15859,735896,0
16059,754941,0
16262,729346,0
16452,1048947,212635
16665,799986,0
16863,937109,100797
17063,808840,0
17268,740045,0
17472,774066,0
17676,690143,0
17874,922405,86093
18082,796746,0
18278,841878,5566
18480,848597,12285
18671,1491488,655176
18883,811549,0
19095,685135,0
19293,817806,0
19496,802832,0
19699,714148,0
19898,883865,47553
20097,785406,0
20302,799583,0
20500,705221,0
20699,796417,0
20905,758336,0
21104,799986,0
21304,790266,0
21456,858522,22210
21656,803226,0
21860,759486,0
22069,738703,0
22266,795126,0
22466,886286,49974
22671,804846,0
22865,874902,38590
23076,675118,0
23273,757866,0
23478,777426,0
23678,755134,0
23882,799986,0
24087,740901,0
24280,836341,29
24491,713032,0
24690,803226,0
24888,798449,0
25092,903227,66915
25286,901203,64891
25490,879025,42713
25697,749766,0
25901,790265,0
26095,825781,0
26304,780561,0
26504,761106,0
26714,734562,0
26907,777426,0
27114,762726,0
27306,803225,0
27514,772446,0
27712,811326,0
27914,757866,0
28117,791886,0
28318,767666,0
28518,843046,6734
28722,785071,0
28927,759411,0
29124,806466,0
29278,854823,18511
29477,762529,0
29683,769206,0
29885,695178,0
30089,800360,0
30294,672506,0
30492,783786,0
30693,756999,0
30897,796179,0
31104,783786,0
31302,840495,4183
31500,770763,0
31709,816101,0
31904,736806,0
32106,744906,0
32311,778926,0
32508,781249,0
32717,757865,0
32913,799986,0
33116,760412,0
33319,778926,0
33521,778926,0
33721,791413,0
33921,780545,0
34129,685570,0
34332,659442,0
34524,1175686,339374
34719,1989757,1153445
34924,993219,156907
35132,760751,0
35337,699241,0
35540,765867,0
35741,805076,0
35942,762487,0
36145,770825,0
36346,852453,16141
36553,683828,0
36693,986566,150254
36907,674248,0
37100,825781,0
37303,871654,35342
37513,659057,0
37707,756649,0
37913,783541,0
38111,754381,0
38315,758181,0
38521,743109,0
38721,695467,0
38927,729238,0
39125,794760,0
39325,795114,0
39524,874185,37873
39726,809513,0
39924,790805,0
40130,796538,0
40330,745542,0
40533,756246,0
40730,764792,0
40937,802272,0
41132,871765,35453
41340,859664,23352
41539,775686,0
41748,714148,0
41947,817561,0
42146,785406,0
42352,786697,0
42553,743286,0
42759,740045,0
42961,897189,60877
43161,754586,0
43362,745578,0
43565,729770,0
43768,840302,3990
43970,745143,0
44119,821046,0
44312,966867,130555
44518,799160,0
44720,774066,0
44924,760957,0
45124,803226,0
45329,667280,0
45531,800202,0
45727,864504,28192
45936,730065,0
46136,680344,0
46339,781673,0
46541,798366,0
46740,815640,0
46949,694802,0
47149,720199,0
47352,756908,0
47553,819261,0
47756,682086,0
47951,876135,39823
48157,768911,0
48356,701246,0
48554,857244,20932
48761,706337,0
48963,737661,0
49164,711916,0
49366,706337,0
49571,711378,0
49768,839777,3465
49977,690795,0
50180,695286,0
50372,912907,76595
50585,671744,0
50784,799986,0
50993,696057,0
51191,697599,0
51391,802262,0
51539,806094,0
51740,886286,49974
51945,733084,0
52144,846229,9917
52346,708677,0
52544,953734,117422
52745,688483,0
52947,844525,8213
53155,708569,0
53352,825206,0
53560,719189,0
53758,806106,0
53963,733118,0
54164,767586,0
54366,744906,0
54571,686442,0
54767,765966,0
54977,700758,0
55177,742045,0
55371,908233,71921
55578,753006,0
55771,1244177,407865
55987,671184,0
56178,886286,49974
56386,718612,0
56587,734234,0
56789,706337,0
56990,817567,0
57193,679556,0
57394,822734,0
57597,702934,0
57797,787026,0
57996,788646,0
58200,833042,0
58407,753006,0
58601,889008,52696
58808,777426,0
59007,840302,3990
59160,886286,49974
59362,738553,0
59559,953734,117422
59750,1466259,629947
59959,1699432,863120
,,
