Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
804690.35,104428.0
804654.543624161,113577.3389261745
887008.1833333333,66025.35666666667
806898.8633333333,131051.14333333333
821045.4133333333,68897.90666666666
821898.8571428572,102331.65780730898
819708.5733333334,89312.38
807420.2558139535,15514.880398671095
811218.1266666667,72561.52333333333
810389.6933333334,105175.95
810139.0366666666,36370.81
796802.177257525,120606.27424749164
801775.1866666666,162476.18666666668
807443.3433333334,157860.86
795451.0733333334,102760.89
809388.2733333333,116307.48666666666
941272.8438538206,94405.51162790698
812828.2633333333,84828.51666666666
801537.6822742475,118564.36789297659
836735.169435216,135522.18936877078
