Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
51,1163361,399643
233,1831365,1067647
432,1701571,937853
634,1242300,478582
834,1249593,485875
1035,1496516,732798
1245,1652106,888388
1447,1357315,593597
1645,1340774,577056
1844,1452185,688467
2057,1314829,551111
2245,1506161,742443
2458,1187588,423870
2658,1267035,503317
2853,1202777,439059
3052,1366232,602514
3250,2016223,1252505
3452,2385230,1621512
3650,2661648,1897930
3854,1302801,539083
4059,1400973,637255
4263,1363042,599324
4460,1676298,912580
4658,1692890,929172
4858,1939686,1175968
5063,1208829,445111
5263,1244906,481188
5462,1322946,559228
5665,1289789,526071
5870,655027,0
6069,1454747,691029
6270,854551,90833
6470,1550686,786968
6673,329380,0
6871,1888717,1124999
7073,1162193,398475
7272,1406266,642548
7472,1323771,560053
7677,765602,1884
7880,1493992,730274
8077,1486735,723017
8278,973337,209619
8481,1649102,885384
8678,1383979,620261
8879,1424763,661045
9081,884324,120606
9282,1058838,295120
9483,1015887,252169
9683,1647236,883518
9884,2287574,1523856
10084,2340157,1576439
10286,2597052,1833334
10488,2154436,1390718
10688,1300869,537151
10904,1288979,525261
11105,1268887,505169
11310,1616232,852514
11509,1257728,494010
11661,1339569,575851
11865,1208791,445073
12057,1454511,690793
12262,1151627,387909
12468,1043746,280028
12664,1450252,686534
12871,1550993,787275
13074,1325707,561989
13265,1194832,431114
13470,1206047,442329
13674,1444966,681248
13875,1538583,774865
14072,1274437,510719
14280,1284857,521139
14481,1282657,518939
14677,1435780,672062
14875,1550550,786832
15083,1359977,596259
15280,983342,219624
15486,1423901,660183
15684,1407814,644096
15888,1399653,635935
16080,1796634,1032916
16290,1345576,581858
16495,1213826,450108
16687,1391587,627869
16892,1496415,732697
17102,1473804,710086
17294,1328417,564699
17493,1476275,712557
17693,1516748,753030
17894,1102574,338856
18096,1345230,581512
18298,1710352,946634
18498,1682690,918972
18698,951539,187821
18903,1521526,757808
19101,1650709,886991
19301,1279697,515979
19502,1175088,411370
19703,1336887,573169
19904,1254752,491034
20105,1289937,526219
20307,1374730,611012
20508,1061893,298175
20714,1001469,237751
20911,1366626,602908
21116,1236437,472719
21320,1289395,525677
21526,1003953,240235
21722,1021674,257956
21923,1267517,503799
22128,1403839,640121
22332,1399949,636231
22476,1554872,791154
22683,1413564,649846
22890,1322832,559114
23087,1455026,691308
23286,1444120,680402
23485,1488393,724675
23687,1333937,570219
23887,1310297,546579
24093,1317143,553425
24286,1001797,238079
24495,1197388,433670
24692,1317896,554178
24890,1282898,519180
25093,1150592,386874
25290,1504006,740288
25491,1065287,301569
25693,1301830,538112
25893,1361833,598115
26095,1215083,451365
26297,1221139,457421
26496,1738170,974452
26697,1566321,802603
26908,761177,0
27112,1268424,504706
27307,1663801,900083
27513,1446286,682568
27717,1111898,348180
27918,1277133,513415
28114,1439023,675305
28316,1234068,470350
28513,1311406,547688
28715,1870342,1106624
28913,1259960,496242
29127,762376,0
29330,1142681,378963
29526,1465936,702218
29724,1255247,491529
29929,1607115,843397
30132,1355165,591447
30334,1261346,497628
30536,1466092,702374
30739,1189657,425939
30930,1276393,512675
31136,1014948,251230
31335,1302275,538557
31542,1309521,545803
31749,1372847,609129
31946,1689142,925424
32146,1120879,357161
32345,1225127,461409
32554,1201142,437424
32698,1287331,523613
32896,1172137,408419
33100,1531755,768037
33301,1515037,751319
33505,1481459,717741
33711,1227080,463362
33911,1216738,453020
34110,1156397,392679
34309,1277237,513519
34512,1301207,537489
34713,1123111,359393
34916,968135,204417
35113,1331279,567561
35320,1335895,572177
35513,1275419,511701
35713,1495155,731437
35913,1174099,410381
