Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1174093.8774834438,523778.8046357616
1192189.665562914,147508.8046357616
1184504.4337748345,456309.1092715232
1184223.8609271522,299025.27814569534
1230107.3729372937,300498.94719471945
1163270.0894039734,279291.1721854305
1261804.3,284638.1566666667
1185411.7185430464,442148.74834437086
1239267.427152318,491537.4867549669
1284997.6179401993,129425.09634551495
1187786.9470198676,564760.1324503311
1177699.4337748345,341463.48013245035
1186916.9569536424,221401.53973509933
1185902.7947019867,325515.0364238411
1219967.4304635762,399052.0629139073
1198011.8874172186,368953.06622516556
1185733.1688741723,238380.3642384106
1197576.9966887417,426781.94701986754
1197209.274834437,156057.16225165562
1186183.6324503312,184824.43046357617
