Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
60,1021126,168909
234,1590699,738482
445,981991,129774
645,988958,136741
841,1049598,197381
1048,972411,120194
1240,1044250,192033
1441,1069327,217110
1644,1017504,165287
1853,967185,114968
2046,1091663,239446
2249,1025298,173081
2449,1054458,202241
2650,1123932,271715
2858,1001151,148934
3052,1076587,224370
3250,1811451,959234
3453,2227727,1375510
3650,1555655,703438
3864,1058307,206090
4062,1037023,184806
4260,1033398,181181
4466,1025864,173647
4661,1206997,354780
4870,974506,122289
5066,1059318,207101
5271,1028667,176450
5470,1013368,161151
5668,1057698,205481
5869,1080573,228356
6071,1031248,179031
6277,997967,145750
6480,1023623,171406
6678,1011358,159141
6877,1015578,163361
7076,1079007,226790
7279,1170974,318757
7485,1034791,182574
7685,1045950,193733
7888,995518,143301
8080,1229979,377762
8288,1067195,214978
8491,963781,111564
8692,990700,138483
8896,985584,133367
9088,1095948,243731
9299,966314,114097
9500,988958,136741
9700,995054,142837
9901,976765,124548
10102,993312,141095
10302,1003547,151330
10503,1023532,171315
10710,975023,122806
10900,1077718,225501
11106,1060938,208721
11313,1011602,159385
11459,1133498,281281
11663,980249,128032
11867,988958,136741
12064,1133838,281621
12263,1072278,220061
12470,1002022,149805
12666,1056713,204496
12878,994183,141966
13075,975894,123677
13277,995925,143708
13473,1053751,201534
13679,1034841,182624
13880,987271,135054
14078,996168,143951
14282,981991,129774
14483,1043431,191214
14683,973281,121064
14890,968056,115839
15090,988958,136741
15287,1009126,156909
15490,1023678,171461
15691,1073898,221681
15895,999409,147192
16094,995054,142837
16297,975894,123677
16493,992659,140442
16702,1012472,160255
16902,1063804,211587
17103,999409,147192
17303,996191,143974
17499,1023238,171021
17706,1116269,264052
17908,1013589,161372
18107,1022516,170299
18304,1092126,239909
18507,1149192,296975
18714,1023794,171577
18914,1010242,158025
19110,1023238,171021
19316,1020285,168068
19514,1073898,221681
19719,1050487,198270
19921,1005505,153288
20130,1003763,151546
20324,980249,128032
20525,1049945,197728
20724,1024748,172531
20924,1036638,184421
21131,990700,138483
21325,1059318,207101
21534,978507,126290
21734,1022053,169836
21928,1067418,215201
22083,1030328,178111
22280,1072278,220061
22483,976766,124549
22689,1011358,159141
22891,1021401,169184
23094,1013343,161126
23292,1000280,148063
23493,1025864,173647
23694,1019169,166952
23896,1029212,176995
24099,992442,140225
24300,914139,61922
24505,1003763,151546
24697,1043118,190901
24900,1036638,184421
25101,1043118,190901
25305,1030905,178688
25515,991353,139136
25712,1007792,155575
25910,1096687,244470
26111,1016937,164720
26311,1043118,190901
26517,1049297,197080
26720,981991,129774
26920,1002892,150675
27118,1026918,174701
27317,1028538,176321
27519,1070658,218441
27726,1000199,147982
27923,1043118,190901
28130,986345,134128
28333,986345,134128
28534,1013343,161126
28727,1052385,200168
28934,849220,0
29134,827447,0
29339,865216,12999
29536,886467,34250
29741,869482,17265
29939,790182,0
30143,749174,0
30343,810194,0
30546,795042,0
30753,741771,0
30949,697503,0
31154,705205,0
31356,699843,0
31556,706719,0
31759,681554,0
31911,678070,0
32102,788049,0
32314,632998,0
32517,589041,0
32714,691290,0
32918,396118,0
33121,153424,0
33324,545180,0
33522,538213,0
33724,551145,0
33929,553018,0
34131,547793,0
34333,577404,0
34534,541696,0
34732,595034,0
34933,455759,0
35141,580016,0
35336,588917,0
35540,557673,0
35737,696797,0
35943,585570,0
36141,663877,0
36344,375670,0
36549,357381,0
36745,424343,0
36949,412957,0
37155,359073,0
37353,378981,0
37550,353862,0
37753,316669,0
37956,343451,0
38156,359967,0
38362,304900,0
38562,397106,0
38768,275289,0
38962,301647,0
39156,1226482,374265
39358,960757,108540
39558,809384,0
39759,828306,0
39961,821999,0
40163,809384,0
40364,967064,114847
40567,702162,0
40768,866149,13932
40967,916607,64390
41167,834613,0
41319,1036443,184226
41519,878763,26546
41720,891378,39161
41921,828306,0
42123,859842,7625
42324,885071,32854
42525,840920,0
42726,903992,51775
42927,866149,13932
43127,847227,0
43331,916607,64390
43535,1623013,770796
43731,1572555,720338
43933,1654549,802332
44133,1683541,831324
44334,1242037,389820
44535,1090664,238447
44737,885071,32854
44941,1332882,480665
45139,1004907,152690
45340,985986,133769
45541,885071,32854
45741,1036443,184226
45944,1004907,152690
46145,935528,83311
46345,967064,114847
46549,1099515,247298
46753,1389647,537430
46951,1427490,575273
47149,1497717,645500
47351,1440952,588735
47551,1239121,386904
47753,1182357,330140
47954,885071,32854
48156,885071,32854
48358,948143,95926
48559,853535,1318
48760,910299,58082
48961,853535,1318
49162,866149,13932
49363,859842,7625
49565,859842,7625
49766,828306,0
49967,872456,20239
50168,948143,95926
50370,853535,1318
50570,872456,20239
50771,878763,26546
50972,916607,64390
51174,828306,0
51375,916607,64390
51576,758927,0
51778,903992,51775
51979,885071,32854
52180,821999,0
52381,840920,0
52582,853535,1318
52783,903992,51775
52985,853535,1318
53189,853535,1318
53388,853535,1318
53589,878763,26546
53741,859842,7625
53942,866149,13932
54142,859842,7625
54342,796770,0
54544,866149,13932
54746,878763,26546
54947,1004907,152690
55149,809384,0
55350,872456,20239
55550,903992,51775
55751,954450,102233
55952,821999,0
56153,853535,1318
56354,840920,0
56555,828306,0
56758,1042751,190534
56958,891378,39161
57159,828306,0
57360,821999,0
57559,821999,0
57762,910299,58082
57961,859842,7625
58163,872456,20239
58363,853535,1318
58564,733698,0
58765,859842,7625
58965,910299,58082
59167,847227,0
59370,809384,0
59568,922914,70697
59770,1175202,322985
59971,1472346,620129
60173,1490562,638345
,,
