Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
933433.8741721854,274057.4271523179
926213.8609271523,243033.49337748345
1049345.699669967,84615.97029702971
985083.0858085809,108020.3399339934
903160.9133333333,283514.66333333333
922105.99339934,184282.32673267327
920928.8046357615,196839.91390728476
1037335.7242524917,349188.0099667774
917513.4587458746,245736.26072607262
902589.3112582781,80795.87086092716
909780.5198675497,100068.5463576159
959386.392739274,234066.91089108912
937771.7674418605,136481.20598006644
937763.8874172185,77082.4238410596
908082.0,60024.78073089701
918609.0564784054,109310.85049833887
929080.6266666667,293390.87
930964.1986754967,118152.4701986755
911449.4488448845,121247.02970297029
897145.2376237623,116084.82508250825
