Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
93,525100,0
264,1113614,0
463,2031489,778983
669,1979190,726684
880,827200,0
1071,1550147,297641
1220,1258680,6174
1432,219074,0
1622,955191,0
1829,444336,0
2038,306802,0
2240,192265,0
2432,336046,0
2631,475828,0
2830,714344,0
3030,897685,0
3231,159766,0
3435,87426,0
3633,386802,0
3837,317423,0
4053,48221,0
4256,72606,0
4455,112343,0
4660,62155,0
4853,161794,0
5057,131663,0
5263,157503,0
5448,1103130,0
5657,1056078,0
5855,1167917,0
6061,211289,0
6255,1161199,0
6459,1599959,347453
6658,1871908,619402
6859,2045747,793241
7061,1649394,396888
7260,2518052,1265546
7468,927409,0
7669,995873,0
7867,1635223,382717
8064,1748317,495811
8266,1119615,0
8470,1393680,141174
8673,1384357,131851
8873,2646574,1394068
9069,1934002,681496
9278,2799861,1547355
9471,2184165,931659
9675,1915387,662881
9873,2294634,1042128
10074,2168100,915594
10278,1141761,0
10477,1868627,616121
10678,829418,0
10878,734810,0
11087,471231,0
11281,1181740,0
11481,1181204,0
11679,1191617,0
11879,1071747,0
12084,1532518,280012
12286,1547928,295422
12487,843379,0
12688,872456,0
12892,1365170,112664
13095,1789936,537430
13296,3379423,2126917
13442,3603987,2351481
13642,3705292,2452786
13843,3470685,2218179
14043,3076808,1824302
14243,3011376,1758870
14448,3441855,2189349
14650,3970917,2718411
14848,2802717,1550211
15048,2716169,1463663
15251,1914782,662276
15450,486511,0
15652,1608288,355782
15853,1654480,401974
16054,1017902,0
16256,1788148,535642
16459,2044017,791511
16661,2203880,951374
16865,1682864,430358
17065,2304654,1052148
17264,1358504,105998
17466,1214485,0
17666,3213564,1961058
17867,2776951,1524445
18070,2871700,1619194
18268,3947574,2695068
18470,2252168,999662
18674,2329381,1076875
18875,2499185,1246679
19077,2922170,1669664
19280,2164415,911909
19484,1521635,269129
19680,1567748,315242
19882,1860253,607747
20082,1940688,688182
20288,2541061,1288555
20491,370350,0
20687,1366935,114429
20891,1183551,0
21085,2433982,1181476
21288,1223392,0
21488,1318532,66026
21699,981648,0
21899,988463,0
22092,1530779,278273
22302,1263207,10701
22508,1175959,0
22699,1567677,315171
22901,880056,0
23098,832487,0
23305,1026918,0
23512,922928,0
23700,1844370,591864
23906,3499479,2246973
24108,2812703,1560197
24307,2037094,784588
24503,2344055,1091549
24704,2255755,1003249
24905,1410439,157933
25118,2066011,813505
25324,1382158,129652
25519,1379584,127078
25669,1449558,197052
25873,928943,0
26078,1309314,56808
26275,2344120,1091614
26466,2078793,826287
26667,2931187,1678681
26876,1390925,138419
27067,2635606,1383100
27269,1821622,569116
27471,2005806,753300
27671,1252878,372
27871,2378501,1125995
28073,908035,0
