Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1561876.6863905326,676104.2958579882
1508828.3268608414,675005.1650485437
1358727.1794117647,427928.5205882353
1525780.7211055276,524098.1180904523
1080513.7853535353,304090.6287878788
1223391.4894259819,364272.34138972807
1427252.9235294117,595477.6147058824
1089969.1722054381,358784.3746223565
1662621.7225806452,816018.093548387
1460461.3344155843,495493.12012987013
1410304.994011976,483416.8502994012
1689040.5756676558,796435.1038575667
1202062.1903323263,455114.26283987914
1266564.83081571,533373.7703927492
1235469.0513595166,471942.8247734139
1499963.6032258065,477992.7774193548
1646133.4005934717,710552.4421364985
1464032.1771217713,513698.68265682657
1142961.0424242425,562502.8606060606
1375363.023880597,725379.2626865671
