Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,638320,0
231,937987,0
433,2210930,1258975
636,2089535,1137580
848,915938,0
1043,1179999,228044
1191,1592914,640959
1390,817811,0
1598,495040,0
1791,955827,3872
1996,394486,0
2198,590009,0
2400,301283,0
2611,184429,0
2803,523055,0
3000,1071791,119836
3202,789074,0
3406,900144,0
3610,192937,0
3806,651704,0
4020,48221,0
4224,120022,0
4416,259570,0
4627,185123,0
4824,175403,0
5024,185746,0
5220,282802,0
5416,1010893,58938
5625,1181967,230012
5820,1233995,282040
6021,1279635,327680
6221,797182,0
6426,916607,0
6620,1750384,798429
6820,1750439,798484
7023,1387846,435891
7223,1887183,935228
7428,1678160,726205
7629,1892215,940260
7834,1249457,297502
8039,519530,0
8231,1088532,136577
8437,366055,0
8648,123274,0
8845,250283,0
9051,101375,0
9256,199315,0
9452,167302,0
9660,128423,0
9853,202943,0
10062,92448,0
10266,125602,0
10460,224718,0
10670,185504,0
10871,194842,0
11015,340232,0
11225,138143,0
11417,956909,4954
11630,1031443,79488
11834,852788,0
12021,2108958,1157003
12221,2311763,1359808
12424,2258584,1306629
12621,1711451,759496
12820,1570806,618851
13027,2012621,1060666
13230,788173,0
13431,1467194,515239
13637,657787,0
13833,108983,0
14041,168923,0
14244,121461,0
14450,93882,0
14652,140431,0
14850,180263,0
15044,219878,0
15247,131663,0
15457,98028,0
15668,486687,0
15843,299751,0
16052,158837,0
16251,263441,0
16451,274568,0
16649,733110,0
16851,260965,0
17063,57801,0
17259,139763,0
17452,777848,0
17668,983732,31777
17866,1167927,215972
18064,2069118,1117163
18263,770764,0
18462,1228825,276870
18663,1561969,610014
18868,990765,38810
19068,2180027,1228072
19271,1753358,801403
19466,2359558,1407603
19672,1347824,395869
19870,2450820,1498865
20072,2512729,1560774
20275,2255934,1303979
20472,1204125,252170
20674,2103327,1151372
20875,2206334,1254379
21078,2087347,1135392
21284,1367836,415881
21478,2038731,1086776
21675,1798066,846111
21826,1474608,522653
22028,2425374,1473419
22229,2631953,1679998
22429,1465719,513764
22630,1757308,805353
22834,976249,24294
23030,1644864,692909
23236,566795,0
23438,941379,0
23639,1185421,233466
23845,1922233,970278
24042,1670222,718267
24247,386943,0
24452,871828,0
24647,981009,29054
24847,1442990,491035
25044,2738585,1786630
25245,2266776,1314821
25446,1251006,299051
25648,2336200,1384245
25848,2222352,1270397
26049,1878999,927044
26254,994571,42616
26455,1068975,117020
26660,455121,0
26862,307690,0
27057,1591737,639782
27258,1411286,459331
27466,440609,0
27670,337939,0
27862,494024,0
28073,138524,0
28280,171163,0
28479,178643,0
28683,205768,0
28870,1187816,235861
29071,565863,0
29282,168922,0
29488,161254,0
29690,852543,0
29892,933489,0
30081,1854254,902299
30279,1583753,631798
30482,1537583,585628
30686,1702393,750438
30886,1830244,878289
31086,2554863,1602908
31288,2019491,1067536
31489,1811778,859823
31685,2093760,1141805
31895,1180115,228160
32098,891680,0
32304,91766,0
32507,70892,0
32704,146243,0
32901,356140,0
33099,455880,0
33307,186136,0
33458,183503,0
33661,238759,0
33864,159203,0
34066,199703,0
34258,795888,0
34469,244079,0
34672,110302,0
34874,215902,0
35066,592195,0
35273,239127,0
35482,124809,0
35669,1367041,415086
35868,1220330,268375
36077,1834907,882952
36267,2082979,1131024
36472,967465,15510
36680,366346,0
36877,1622954,670999
37074,1556602,604647
37275,2649460,1697505
37476,2335161,1383206
37677,2591597,1639642
37879,2543372,1591417
38079,2537631,1585676
38280,2822455,1870500
38481,2761899,1809944
38682,2176781,1224826
38895,1025515,73560
39092,1742510,790555
39290,900709,0
39492,969358,17403
39693,851191,0
39900,237135,0
40106,100883,0
40308,141383,0
40511,180263,0
40712,224003,0
40907,844867,0
41114,328341,0
41319,146243,0
41523,183502,0
41719,800748,0
41920,1038206,86251
42116,1488011,536056
42313,669237,0
42516,1604434,652479
42717,1496958,545003
42917,2157629,1205674
43119,1215057,263102
43318,1886987,935032
43468,2013308,1061353
43677,1755836,803881
43869,2116880,1164925
44070,1990771,1038816
44271,1082593,130638
44473,1671945,719990
44675,1871740,919785
44875,2478631,1526676
45076,2216846,1264891
45277,2032095,1080140
45481,1633613,681658
45684,1478250,526295
45879,1745074,793119
46092,1059765,107810
46284,1764327,812372
46496,1498058,546103
46690,781687,0
46894,312303,0
47088,563154,0
47288,664319,0
47489,302647,0
47690,1105646,153691
47890,889536,0
48093,2459925,1507970
48297,2684503,1732548
48502,292483,0
48701,1698257,746302
48900,1367079,415124
49103,2104807,1152852
49298,4531838,3579883
49498,3833830,2881875
49700,4166358,3214403
49899,3699376,2747421
50105,2070665,1118710
50306,1798488,846533
50511,817005,0
50707,1993636,1041681
50910,1434369,482414
51116,504268,0
51325,116648,0
51521,146243,0
51721,435445,0
51930,268281,0
52125,297696,0
52333,152723,0
52535,98028,0
52739,85997,0
52935,251340,0
53140,93508,0
53334,369781,0
53541,83521,0
53730,1182998,231043
53939,1077138,125183
54138,1875301,923346
54336,1505635,553680
54534,2228747,1276792
54736,1299186,347231
54938,3447481,2495526
55139,3000277,2048322
55336,2174919,1222964
55486,2060183,1108228
55686,2210070,1258115
55889,1473380,521425
56089,2846332,1894377
