Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
960140.8515151516,340804.3212121212
1344113.1242424243,599402.2909090909
1355515.0518292682,745027.8292682926
1573642.9848942598,777646.2567975831
1145699.6747720365,443710.1337386018
1238027.0362537764,500265.1238670695
1198682.413897281,488657.70392749243
1382521.1707317072,634006.5243902439
1424220.9727272727,707197.7545454545
1107814.1837349397,84523.81626506025
1529753.4803625378,898796.6465256797
1583617.8191881918,833160.3653136531
1389461.9237804879,797566.1920731707
1690628.496969697,1028654.2363636363
1606159.1737804879,950036.6798780488
1537544.8480243161,876935.9665653495
1475636.6696969697,711794.9848484849
1728861.9523809524,940760.9523809524
1504893.480243161,696977.9604863222
1303095.3655589123,500101.1238670695
