Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
97,796245,11788
246,1466259,681802
448,1034722,250265
650,838508,54051
856,819426,34969
1059,874185,89728
1259,785161,704
1460,799951,15494
1662,863020,78563
1863,943769,159312
2063,885557,101100
2261,943769,159312
2467,796025,11568
2663,841990,57533
2871,817164,32707
3060,1500445,715988
3265,1245507,461050
3475,699205,0
3672,694229,0
3873,813210,28753
4074,751386,0
4279,830877,46420
4476,727334,0
4673,823077,38620
4874,779514,0
5076,820657,36200
5283,686251,0
5486,730200,0
5685,720952,0
5886,749440,0
6085,718014,0
6288,816389,31932
6485,819123,34666
6691,688483,0
6883,920902,136445
7096,677731,0
7297,754626,0
7493,848586,64129
7695,782166,0
7897,922588,138131
8101,696355,0
8292,1456294,671837
8502,686340,0
8706,716747,0
8908,806019,21562
9100,999584,215127
9304,779514,0
9509,730080,0
9716,723153,0
9919,698739,0
10061,777061,0
10266,791641,7184
10467,751589,0
10663,912907,128450
10869,741666,0
11069,788646,4189
11278,724509,0
11467,1100265,315808
11680,726501,0
11885,732080,0
12082,832141,47684
12274,973318,188861
12485,730081,0
12680,890842,106385
12891,760723,0
13086,745878,0
13296,764101,0
13494,814566,30109
13698,700983,0
13900,700028,0
14102,817641,33184
14299,784404,0
14500,775106,0
14710,794881,10424
14904,786781,2324
15112,759240,0
15305,942129,157672
15518,735350,0
15703,1154410,369953
15904,894637,110180
16120,738091,0
16316,867251,82794
16520,753423,0
16723,701951,0
16921,746281,0
17122,818237,33780
17326,856959,72502
17529,819425,34968
17733,791886,7429
17932,762725,0
18134,866257,81800
18279,1019398,234941
18495,812945,28488
18684,963731,179274
18895,790266,5809
19093,804846,20389
19298,792577,8120
19496,806136,21679
19697,803120,18663
19900,784662,205
20093,1607667,823210
20293,2136884,1352427
20492,2540109,1755652
20689,1804884,1020427
20890,1996273,1211816
21094,838973,54516
21307,730614,0
21509,768961,0
21699,1513059,728602
21912,717121,0
22101,1620281,835824
22302,1191098,406641
22513,668475,0
22713,749521,0
22908,1269121,484664
23116,794218,9761
23322,771284,0
23526,785961,1504
23717,1803190,1018733
23917,1704734,920277
24114,1210313,425856
24317,1292307,507850
24519,1374301,589844
24721,1494137,709680
24921,1664432,879975
25136,660342,0
25335,682981,0
25531,848465,64008
25731,887955,103498
25931,983960,199503
26125,1235542,451085
26342,845609,61152
26534,832441,47984
26735,761106,0
26932,1144592,360135
27138,693066,0
27331,1037370,252913
27540,693065,0
27736,1039098,254641
27938,1605018,820561
28136,1428416,643959
28338,1731162,946705
28539,1567174,782717
28740,1576131,791674
28939,1349072,564615
29140,1525673,741216
29340,1954563,1170106
29540,1595053,810596
29742,1468909,684452
29942,1465061,680604
30144,1506752,722295
30295,1777961,993504
30496,1639203,854746
30698,1613974,829517
30905,2736621,1952164
31105,2765184,1980727
31306,2814030,2029573
31513,2866556,2082099
31710,2312656,1528199
31911,2321303,1536846
32112,1123107,338650
32314,1140934,356477
32517,970640,186183
32728,752196,0
32933,677592,0
33129,759241,0
33335,765721,0
33533,794881,10424
33733,854539,70082
33932,849100,64643
34136,786774,2317
34340,756000,0
34529,1216621,432164
34738,719682,0
34942,923369,138912
35135,1393222,608765
35335,1708582,924125
35536,2115716,1331259
35738,1513765,729308
35940,1273385,488928
36140,1197699,413242
36358,763194,0
36551,857286,72829
36756,748184,0
36960,740705,0
37150,1194315,409858
37350,1405837,621380
37552,1929973,1145516
37764,1531663,747206
37952,1950796,1166339
38152,2339268,1554811
38363,695275,0
38566,676344,0
38772,716458,0
38973,721519,0
39131,771231,0
39327,725385,0
39536,673699,0
39726,817152,32695
39931,790624,6167
40131,804601,20144
40340,735428,0
40532,885441,100984
40741,734028,0
40932,818237,33780
41138,847279,62822
41340,795097,10640
41546,929564,145107
41744,917504,133047
41942,738426,0
42148,840495,56038
42350,828202,43745
42553,772446,0
42755,795126,10669
42944,1613974,829517
43157,898251,113794
43356,862076,77619
43560,857286,72829
43765,754381,0
43967,811418,26961
44172,674598,0
44366,773821,0
44569,899960,115503
44760,984861,200404
44973,806221,21764
45175,707531,0
45372,765721,0
45582,767341,0
45780,812700,28243
45980,749967,0
46184,799741,15284
46383,780301,0
46583,815816,31359
46781,902942,118485
46989,739801,0
47187,809461,25004
47344,878741,94284
47542,773821,0
47741,1298614,514157
47947,806184,21727
48148,894484,110027
48356,678217,0
48556,705299,0
48753,893262,108805
48956,697488,0
49159,814321,29864
49358,847279,62822
49561,840086,55629
49765,686329,0
49956,835178,50721
50166,745497,0
50361,830939,46482
50563,852403,67946
50772,738697,0
50966,1064644,280187
51172,1289318,504861
51378,762493,0
51580,838866,54409
51788,689053,0
51986,827526,43069
52186,786368,1911
52387,856959,72502
52591,732448,0
52794,742123,0
52991,835178,50721
53202,682082,0
53398,803070,18613
53599,771056,0
53796,861800,77343
53998,912623,128166
54197,820657,36200
54405,765550,0
54602,888421,103964
54808,807585,23128
55011,804601,20144
55152,832758,48301
55363,759817,0
55558,837598,53141
55763,718191,0
55966,820545,36088
56170,794881,10424
56370,781846,0
56568,793261,8804
56775,742800,0
56973,713880,0
57174,785161,704
57374,793506,9049
57585,687774,0
57775,862084,77627
57971,1497795,713338
58186,736988,0
58379,726841,0
58582,751140,0
58784,729848,0
58987,775673,0
59182,890842,106385
59393,796560,12103
59590,826713,42256
59783,1529331,744874
59982,1459952,675495
60194,1566130,781673
60389,1538367,753910
