Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
814000.25,101878.99
822456.4,41058.503333333334
811375.1125827815,21170.437086092716
812863.8333333334,102673.25333333333
820391.6633333333,55780.426666666666
1032032.8936877076,299368.0797342193
818643.5,23726.236666666668
820796.1433333333,106687.12666666666
818672.7658862877,33676.21070234114
821885.1,82836.79666666666
985162.1887417219,219205.07615894038
817962.8766666667,23888.52666666667
841481.2080536913,58178.26510067114
809825.695652174,56196.63210702341
810744.1070234113,37157.23411371237
936564.0797342192,118566.58471760797
814011.4342105263,6818.638157894737
825122.8266666667,140186.1
871104.9866220736,141178.29765886287
820627.5451505017,64560.421404682274
