Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
115,1498068,244700
285,1860303,606935
436,2074748,821380
635,1752844,499476
840,1438733,185365
1048,1264940,11572
1249,1351272,97904
1448,1356586,103218
1646,1267217,13849
1849,1520776,267408
2058,1141428,0
2251,1392856,139488
2457,1370476,117108
2658,860572,0
2862,1296131,42763
3055,1613851,360483
3252,2191549,938181
3464,1523204,269836
3662,1267325,13957
3862,1362401,109033
4070,1396590,143222
4262,1449380,196012
4470,1322520,69152
4661,1092310,0
4861,1394402,141034
5062,744857,0
5263,1765672,512304
5464,1752633,499265
5665,1425685,172317
5877,1027088,0
6080,1353563,100195
6282,1183614,0
6484,1246676,0
6686,1315643,62275
6881,1256837,3469
7081,1317731,64363
7280,1134962,0
7482,1337340,83972
7680,2194654,941286
7884,1046529,0
8082,1166061,0
8286,1504904,251536
8484,1881984,628616
8685,1413991,160623
8886,1040767,0
9088,2139391,886023
9290,1352014,98646
9490,1073543,0
9691,973451,0
9891,1404034,150666
10095,1248628,0
10293,1795471,542103
10495,1390286,136918
10700,1079982,0
10898,692336,0
11102,1733099,479731
11301,1079632,0
11502,1456016,202648
11703,1969639,716271
11904,1105823,0
12104,927181,0
12314,1035813,0
12463,1338753,85385
12659,1457909,204541
12858,2250121,996753
13061,1429318,175950
13263,1334371,81003
13462,1347552,94184
13663,754876,0
13864,1523396,270028
14066,1849023,595655
14267,1444982,191614
14465,1303991,50623
14666,792557,0
14871,1468225,214857
15070,1383136,129768
15271,1433023,179655
15472,1293024,39656
15672,637479,0
15874,1497367,243999
16075,1592227,338859
16275,990378,0
16482,1771836,518468
16683,931692,0
16881,1691385,438017
17083,1228997,0
17285,1656581,403213
17487,1123499,0
17687,1653661,400293
17889,1405389,152021
18090,928512,0
18291,1311717,58349
18496,1301843,48475
18701,1062954,0
18909,1243577,0
19105,1071018,0
19307,1306938,53570
19506,1610669,357301
19704,1048570,0
19905,826464,0
20109,925022,0
20309,1270110,16742
20512,1302376,49008
20710,1465328,211960
20918,1490673,237305
21115,1237010,0
21319,796244,0
21515,1611152,357784
21716,1685166,431798
21917,1481244,227876
22118,949808,0
22321,1155537,0
22519,1628259,374891
22721,1568361,314993
22922,1439589,186221
23124,889630,0
23325,1407705,154337
23477,1689393,436025
23678,1657675,404307
23878,1879586,626218
24083,840592,0
24280,1233135,0
24484,894737,0
24684,1767788,514420
24884,1484610,231242
25086,974187,0
25293,1317067,63699
25498,1439212,185844
25692,2146231,892863
25900,1295332,41964
26100,1299004,45636
26301,1303456,50088
26506,1318448,65080
26699,1460246,206878
26901,1492466,239098
27100,1486394,233026
27300,1398649,145281
27500,1008674,0
27701,2110088,856720
27904,1218488,0
28103,761301,0
28303,1154292,0
28509,1096831,0
28709,1420934,167566
28910,1414446,161078
29119,1635364,381996
29319,1043165,0
29519,1220267,0
29721,1264550,11182
29921,1364717,111349
30126,1289709,36341
30326,1263308,9940
30527,1617915,364547
30734,1307834,54466
30931,967729,0
31131,1255160,1792
31341,1326315,72947
31537,1309336,55968
31734,1708912,455544
31941,1478043,224675
32141,1348799,95431
32346,1320298,66930
32536,1439382,186014
32747,1083889,0
32948,1445444,192076
33151,1367266,113898
33345,1443622,190254
33546,1313858,60490
33701,1010748,0
33897,1409400,156032
34102,1235630,0
34302,1487056,233688
34502,1375036,121668
34704,1610475,357107
34907,1225097,0
35105,1242125,0
35306,1413375,160007
35509,1303174,49806
35714,1457313,203945
35914,1295626,42258
36122,1299016,45648
36320,1089160,0
36517,1237541,0
36721,1268918,15550
36929,1255223,1855
37119,1843969,590601
37328,1374325,120957
37527,1381516,128148
37732,1114184,0
37929,1278257,24889
38132,992689,0
38330,1472034,218666
38531,1380263,126895
38732,1409221,155853
38934,1414146,160778
39142,1353679,100311
39342,1288385,35017
39539,1831517,578149
39744,1256094,2726
39952,1312080,58712
40148,1249561,0
40343,1213636,0
40548,1286969,33601
40752,1548815,295447
