Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1253950.6910299002,481189.1262458472
1312164.9072847683,147658.53311258278
1329899.8874172186,532967.5430463576
1248135.8178807946,188720.5430463576
1332590.9667774087,63727.6976744186
1321191.3366666667,394694.1533333333
1318073.44,68230.67
1347902.6979865772,8522.107382550335
1368817.2325581396,331151.28571428574
1278353.5980066445,183017.21594684385
1336815.3133333332,438434.1433333333
1251226.738410596,415846.7317880795
1398946.7707641197,314012.1362126246
1333354.0,341588.9235880399
1354045.9105960266,575759.7715231788
1258758.2185430464,225400.55629139073
1290371.7740863787,220770.50166112956
1340573.3122923588,407733.29900332226
1309909.0332225913,187211.88704318937
1325256.5647840532,268835.0465116279
