Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
64,1095948,0
239,1849295,752562
438,1319490,222757
647,963701,0
845,1085238,0
1048,984603,0
1253,986345,0
1445,1102819,6086
1654,989829,0
1851,1034958,0
2051,1035018,0
2252,1044738,0
2448,1115067,18334
2654,1015578,0
2853,1037864,0
3061,960218,0
3252,1830373,733640
3450,1470863,374130
3665,995054,0
3865,1013343,0
4061,1052838,0
4262,1051218,0
4468,1034791,0
4665,1072278,0
4872,1043718,0
5074,1010731,0
5274,1009908,0
5474,1033675,0
5676,1025864,0
5874,1064178,0
6078,1025864,0
6283,1035907,0
6484,1015956,0
6686,1000280,0
6886,1030328,0
7091,1024748,0
7289,1029212,0
7493,1006376,0
7690,1030328,0
7883,722907,0
8092,305153,0
8291,833320,0
8486,1554460,457727
8696,997423,0
8894,760729,0
9095,1028538,0
9299,1050776,0
9494,1233263,136530
9701,1028538,0
9900,1063372,0
10108,1015085,0
10304,1067418,0
10504,1076751,0
10708,1067418,0
10914,1002022,0
11112,980113,0
11259,1073898,0
11463,1075025,0
11669,1015956,0
11873,1016011,0
12064,1067418,0
12267,1064178,0
12468,1112687,15954
12670,1015572,0
12874,1054877,0
13075,979378,0
13278,1008010,0
13480,978586,0
13676,944388,0
13874,1367874,271141
14080,1070658,0
14284,991813,0
14484,1083618,0
14688,998538,0
14884,1072278,0
15085,1090129,0
15289,1077138,0
15494,1041914,0
15695,1005505,0
15895,983732,0
16089,1023238,0
16285,1218575,121842
16496,981120,0
16697,990700,0
16897,976765,0
17098,958476,0
17302,984603,0
17494,1138050,41317
17696,1062536,0
17899,1063372,0
18109,971240,0
18314,981120,0
18510,993312,0
18702,1108397,11664
18912,983732,0
19113,1035731,0
19314,974152,0
19514,1094473,0
19705,1124917,28184
19907,1063773,0
20117,992442,0
20312,1103209,6476
20517,993312,0
20722,991571,0
20920,908449,0
21126,998538,0
21325,1006376,0
21524,1067451,0
21726,990700,0
21934,1013343,0
22127,1074860,0
22330,1067962,0
22534,1002892,0
22678,1107329,10596
22879,1101438,4705
23086,1008010,0
23285,1045950,0
23484,1072278,0
23682,1133498,36765
23891,969987,0
24086,1056078,0
24290,1091718,0
24491,1062558,0
24694,1049297,0
24893,1047978,0
25097,1067418,0
25302,1002892,0
25503,994183,0
25704,1005505,0
25905,1008118,0
26106,1003763,0
26307,981120,0
26507,1007247,0
26707,995054,0
26907,1032559,0
27109,1031778,0
27306,1083848,0
27512,1064178,0
27713,1054458,0
27917,1040085,0
28122,1033675,0
28318,1005261,0
28518,995802,0
28724,995627,0
28919,1054458,0
29126,989829,0
29323,1093338,0
29526,1034043,0
29725,1072278,0
29926,1057698,0
30130,1031778,0
30335,994183,0
30537,1002892,0
30736,1034791,0
30936,1072278,0
31140,996796,0
31337,1044834,0
31539,1081998,0
31739,1077138,0
31941,1070658,0
32145,1065047,0
32346,999409,0
32541,1039318,0
32746,1058169,0
32953,1006376,0
33154,1017698,0
33352,1002431,0
33555,1023820,0
33755,1005778,0
33903,1146772,50039
34111,992442,0
34312,1030328,0
34515,1024665,0
34715,1023118,0
34909,1049598,0
35111,1070658,0
35319,1026980,0
35515,1051218,0
35720,1042676,0
35920,1083618,0
36125,1000280,0
36321,1054458,0
36525,1038139,0
36724,1085238,0
36922,1210280,113547
37128,982861,0
37328,1048999,0
37534,988087,0
37736,994183,0
37938,1022053,0
38135,1009098,0
38334,1051218,0
38535,1077138,0
38741,1029212,0
38945,1020140,0
39145,1016513,0
39336,1180731,83998
39540,1064486,0
39742,1060938,0
39944,1059318,0
40148,1202436,105703
40344,2114197,1017464
40544,1830373,733640
40759,1016937,0
40953,1103058,6325
41155,1060938,0
41357,1082484,0
41564,1015793,0
41765,1006376,0
41966,983732,0
42162,1035018,0
42365,1072278,0
42571,1031443,0
42771,1017698,0
42968,1070658,0
43169,1049598,0
43374,1039402,0
43576,1040451,0
43769,1049403,0
43922,1055728,0
44129,1008010,0
44326,1070658,0
44533,1035907,0
44738,1023985,0
44937,1000579,0
45135,1002648,0
45338,1034791,0
45535,1081998,0
45743,1002892,0
45937,1045125,0
46143,1039255,0
46342,1070658,0
46545,1073847,0
46751,1028385,0
46950,1021401,0
47148,1069038,0
47354,1028096,0
47554,1047066,0
47752,1054458,0
47953,1064178,0
48154,1077810,0
48356,1022058,0
48563,999409,0
48764,1402755,306022
48961,534740,0
49161,1085238,0
49367,989829,0
49566,1032559,0
49766,1086858,0
49969,1067418,0
50174,1026601,0
50369,992928,0
50576,1011602,0
50770,1105418,8685
50974,1028538,0
51178,1036638,0
51379,1151429,54696
51585,996796,0
51779,1056078,0
51980,1062558,0
52184,1015821,0
52390,1012472,0
52586,1092443,0
52788,1037192,0
52992,1040437,0
53189,1030158,0
53390,1028538,0
53594,1056078,0
53795,1075518,0
53948,1050413,0
54148,1014994,0
54347,1009128,0
54554,999409,0
54754,1014167,0
54953,1070658,0
55156,1052645,0
55356,1020285,0
55556,1028971,0
55760,1030368,0
55966,998538,0
56167,1018569,0
56356,1546549,449816
56573,350044,0
56757,1466114,369381
56957,748303,0
57156,802901,0
57357,1119258,22525
57560,1032559,0
57761,1007247,0
57964,1113529,16796
58165,1104647,7914
58366,1061192,0
58568,1073867,0
58768,1026980,0
58971,1077138,0
59172,1107887,11154
59372,1070627,0
59575,1158407,61674
59778,1872681,775948
59993,1854087,757354
,,
