Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1055700.6212624584,195584.69435215948
1040650.2126245847,38675.06976744186
1055982.06,27343.636666666665
1046330.7483443709,67583.03642384105
1049917.3411371238,131611.1772575251
1130050.7733333334,400741.87333333335
1060058.2341137123,333964.85284280934
1056634.7649006622,150677.86754966888
1053625.4318936877,388712.0398671096
1051606.68,315407.84
1058495.7940199336,305600.5481727575
1056282.43,186261.44
1071749.7692307692,79379.12040133779
1062938.7715231788,228985.53642384105
1058215.8803986711,60730.36877076412
1063238.1605351171,24236.22408026756
1054832.8033333332,187117.86333333334
1050296.4782608696,165838.65217391305
1046734.7533333333,66383.32
1050949.6146179403,207412.4119601329
