Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
28,291127,0
189,888382,585736
389,867226,564580
599,162445,0
803,132941,0
992,384821,82175
1199,192625,0
1403,169125,0
1608,129457,0
1794,573446,270800
2006,131200,0
2211,149488,0
2411,153843,0
2612,162445,0
2806,281291,0
3001,1020577,717931
3202,719433,416787
3418,102459,0
3609,344262,41616
3810,342140,39494
4011,361839,59193
4218,220165,0
4419,292949,0
4627,238536,0
4820,251310,0
5026,260910,0
5224,238230,0
5423,326231,23585
5620,368405,65759
5826,202345,0
6032,245168,0
6235,183825,0
6432,226645,0
6631,498632,195986
6842,130713,0
7041,246329,0
7233,463734,161088
7443,319236,16590
7645,482909,180263
7850,133812,0
8049,216401,0
8250,204848,0
8438,991897,689251
8649,440176,137530
8844,594508,291862
9060,180299,0
9251,360567,57921
9456,230154,0
9662,301347,0
9867,149517,0
10004,391388,88742
10214,173609,0
10411,351241,48595
10619,186994,0
10809,528563,225917
11019,251475,0
11228,144263,0
11429,152972,0
11622,355634,52988
11828,165715,0
12029,279832,0
12228,278067,0
12430,205829,0
12628,323899,21253
12829,313583,10937
13042,138167,0
13231,352629,49983
13440,231505,0
13644,138167,0
13848,133812,0
14036,493167,190521
14242,287213,0
14452,122490,0
14645,295965,0
14843,313583,10937
15050,202345,0
15245,608355,305709
15453,237985,0
15658,167639,0
15861,138357,0
16059,243972,0
16255,355418,52772
16457,302276,0
16667,296659,0
16858,305216,2570
17060,222234,0
17262,297935,0
17459,319161,16515
17663,257975,0
17873,174719,0
18062,335895,33249
18270,226639,0
18475,170772,0
18668,295281,0
18874,231505,0
19074,260457,0
19278,299944,0
19485,175835,0
19684,178067,0
19881,277658,0
20039,208840,0
20230,450485,147839
20432,628280,325634
20638,302096,0
20847,146005,0
21045,218962,0
21245,256529,0
21441,319161,16515
21648,283391,0
21854,192505,0
22051,221785,0
22248,368405,65759
22459,174719,0
22654,436706,134060
22862,175835,0
23062,199191,0
23259,314573,11927
23463,231884,0
23652,1109413,806767
23857,585839,283193
24067,258720,0
24261,427503,124857
24467,260496,0
24672,233125,0
24870,200725,0
25073,228265,0
25275,362952,60306
25480,221785,0
25686,161329,0
25882,264577,0
26076,397954,95308
26284,229878,0
26490,249325,0
26685,422168,119522
26884,334541,31895
27091,241225,0
27290,348909,46263
27499,241912,0
27696,257425,0
27893,262638,0
28092,351989,49343
28306,181415,0
28448,404868,102222
28648,302276,0
28853,256328,0
29059,216987,0
29254,278485,0
29457,273835,0
29661,393966,91320
29863,144263,0
30061,253222,0
30258,429529,126883
30462,298251,0
30662,330894,28248
30865,307578,4932
31068,226056,0
31267,338684,36038
31472,252707,0
31669,414370,111724
31865,558485,255839
32075,264279,0
32271,312591,9945
32481,161329,0
32678,237523,0
32883,252565,0
33074,728044,425398
33275,458745,156099
33476,388927,86281
33685,292681,0
33882,374972,72326
34084,316372,13726
34297,233125,0
34490,389705,87059
34689,355273,52627
34895,386836,84190
35096,248677,0
35297,267848,0
35502,234744,0
35703,223405,0
35907,275746,0
36110,145134,0
36313,185844,0
36510,273835,0
36719,154388,0
36916,216925,0
37117,248959,0
37314,430786,128140
37518,333106,30460
37674,180299,0
37869,380519,77873
38082,182904,0
38281,248815,0
38475,283589,0
38671,892606,589960
38867,668060,365414
39081,153440,0
39274,414370,111724
39472,583420,280774
39676,319157,16511
39884,270580,0
40080,305216,2570
40289,242845,0
40493,151970,0
40686,341473,38827
40892,315596,12950
41094,300426,0
41303,139337,0
41497,234744,0
41704,199269,0
41906,189226,0
42101,198957,0
42298,368405,65759
42515,261984,0
42706,306702,4056
42901,355273,52627
43109,228265,0
43304,321950,19304
43513,241225,0
43706,414370,111724
43913,268102,0
44120,148618,0
44321,180221,0
44514,421052,118406
44722,220410,0
44913,553489,250843
45126,266888,0
45327,180299,0
45532,208388,0
45728,344246,41600
45934,224532,0
46135,161329,0
46332,313601,10955
46536,249340,0
46736,221785,0
46935,260592,0
47143,241345,0
47283,1669235,1366589
47489,638277,335631
47707,135228,0
47908,154905,0
48105,330127,27481
48309,152918,0
48508,174664,0
48707,280105,0
48909,147747,0
49098,433810,131164
49304,297613,0
49506,313934,11288
49716,227083,0
49916,165792,0
50112,220165,0
50309,315874,13228
50521,146876,0
50711,352629,49983
50914,285693,0
51116,333106,30460
51328,143937,0
51527,164677,0
51727,270017,0
51921,417653,115007
52131,169140,0
52319,837758,535112
52536,152402,0
52731,272004,0
52928,371689,69043
53136,225025,0
53331,349840,47194
53532,338857,36211
53733,728044,425398
53946,307374,4728
54136,450485,147839
54336,280115,0
54542,299944,0
54740,388105,85459
54954,198674,0
55148,277658,0
55356,176951,0
55548,447318,144672
55749,329122,26476
55961,171216,0
56154,454762,152116
56358,228909,0
56558,247079,0
56764,242844,0
56972,138167,0
57158,548511,245865
57308,578433,275787
57521,147261,0
57723,149873,0
57920,210690,0
58115,375087,72441
58328,153881,0
58523,355418,52772
58732,183936,0
58925,327924,25278
59131,246085,0
59337,160947,0
59524,1525527,1222881
59744,1198340,895694
