Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
306530.7006578947,18556.026315789473
310922.16722408024,62371.752508361205
301603.5484949833,59662.6254180602
309013.89966555184,70235.15050167224
285414.1538461539,37190.832775919735
293787.6688963211,97553.44481605351
311219.5886287625,35149.658862876255
310139.94648829434,147196.22742474917
298831.59197324415,131131.14046822742
297449.1204013378,128510.127090301
310662.3879598662,77851.54515050167
309708.3779264214,140594.3712374582
306639.80267558526,80673.65886287625
299342.6287625418,151750.491638796
304808.72909698996,68941.10702341137
302195.72909698996,64070.260869565216
362874.72909698996,90950.98327759198
310900.4581939799,123584.57525083612
298279.61513157893,46070.94736842105
305923.5585284281,46985.84280936455
