Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,840333,0
190,1388400,381099
390,1474243,466942
604,1868341,861040
798,1605580,598279
993,1140314,133013
1196,1364598,357297
1395,521820,0
1595,1548479,541178
1798,1324789,317488
2000,883194,0
2198,1508309,501008
2400,1853148,845847
2612,1408592,401291
2801,1342396,335095
3002,1594938,587637
3202,2353205,1345904
3402,1516517,509216
3619,1288875,281574
3810,1687266,679965
4016,1566262,558961
4220,1483864,476563
4409,1918129,910828
4610,2333784,1326483
4812,840702,0
5012,2103840,1096539
5214,1772427,765126
5414,1484198,476897
5620,1145439,138138
5817,1158288,150987
6015,1524706,517405
6218,1097610,90309
6422,745742,0
6618,1723869,716568
6819,1331235,323934
7020,1518783,511482
7226,1156859,149558
7425,1540383,533082
7623,1557283,549982
7822,1045277,37976
8025,1715922,708621
8226,1423435,416134
8427,1664632,657331
8622,949216,0
8830,1679607,672306
9032,1322767,315466
9231,1095760,88459
9435,1521742,514441
9635,719556,0
9835,899911,0
10035,1410099,402798
10237,1851582,844281
10437,895419,0
10637,1465082,457781
10839,2056933,1049632
11041,574227,0
11242,1344190,336889
11444,1406420,399119
11643,1237856,230555
11845,1722678,715377
12044,2005154,997853
12245,1243743,236442
12445,775551,0
12646,1346561,339260
12848,1201599,194298
13048,1574129,566828
13250,1456498,449197
13452,1701442,694141
13652,1078953,71652
13856,1336591,329290
14054,2015128,1007827
14254,1482309,475008
14458,751211,0
14607,866346,0
14808,1362322,355021
15008,1303402,296101
15208,1858175,850874
15412,1834160,826859
15612,1172063,164762
15812,599654,0
16016,1228337,221036
16212,1590031,582730
16418,1311596,304295
16617,1071078,63777
16813,1395415,388114
17019,2192525,1185224
17225,890806,0
17423,1306110,298809
17628,1148687,141386
17831,699898,0
18036,1170151,162850
18228,2018719,1011418
18431,1354798,347497
18633,1078531,71230
18834,920749,0
19034,1201310,194009
19235,1908355,901054
19436,1035391,28090
19636,1286123,278822
19836,1408390,401089
20039,973760,0
20240,1898270,890969
20441,835080,0
20642,1092261,84960
20842,987337,0
21047,1653048,645747
21245,1465644,458343
21447,1375350,368049
21649,1301667,294366
21849,1405907,398606
22050,1296106,288805
22251,1644472,637171
22451,1311097,303796
22654,1437127,429826
22856,1100287,92986
23057,503611,0
23257,1274098,266797
23456,1734319,727018
23658,1790220,782919
23865,995820,0
24063,1085999,78698
24266,639598,0
24462,1102103,94802
24673,1343617,336316
24865,1645448,638147
25066,847378,0
25266,1223462,216161
25462,1287517,280216
25670,1681117,673816
25874,885495,0
26074,1852364,845063
26274,1468231,460930
26475,1459802,452501
26629,1485998,478697
26832,828597,0
27027,1295595,288294
27228,1128105,120804
27428,1095213,87912
27630,1721648,714347
27830,1361912,354611
28031,1049356,42055
28235,1166621,159320
28436,608425,0
28633,1414891,407590
28836,1690544,683243
29037,1376562,369261
29236,1124207,116906
29440,1167751,160450
29636,1684711,677410
29840,1244333,237032
30041,1552247,544946
30240,2140095,1132794
30443,1560243,552942
30643,1212783,205482
30848,1489097,481796
31046,738798,0
31250,1241127,233826
31453,972226,0
31650,1452733,445432
31851,1803486,796185
32051,1873706,866405
32253,1082038,74737
32458,646057,0
32654,1687561,680260
32856,1287754,280453
33061,2443305,1436004
33259,1378465,371164
33463,1064070,56769
33662,775032,0
33865,1666849,659548
34064,1581807,574506
34264,1185747,178446
34466,1476993,469692
34671,254149,0
34869,1364138,356837
35075,1245758,238457
35273,1567987,560686
35472,1244363,237062
35682,763705,0
35880,1376450,369149
36077,1293504,286203
36283,913828,0
36479,1174786,167485
36683,784707,0
36880,1037404,30103
37081,2122173,1114872
37285,1358643,351342
37485,415666,0
37682,1626524,619223
37891,1113359,106058
38085,1081685,74384
38287,734054,0
38486,1105187,97886
38696,1033340,26039
38889,807434,0
39103,1113921,106620
39291,1661332,654031
39493,1213767,206466
39698,1107671,100370
39893,1616549,609248
40094,1796353,789052
40300,1601311,594010
40448,1331641,324340
40648,1467051,459750
40851,1348543,341242
41052,1842009,834708
41254,1172357,165056
41452,1771970,764669
41654,927006,0
41856,1052203,44902
42057,1339173,331872
42259,1505647,498346
42459,1392848,385547
42661,1467827,460526
42861,1659150,651849
43060,1111607,104306
43263,1679392,672091
43465,833348,0
43665,1212921,205620
43867,2093571,1086270
44072,799702,0
44267,1725967,718666
44470,1331679,324378
44671,1276250,268949
44871,1379733,372432
45074,721722,0
45273,1475755,468454
45478,709023,0
45675,1088033,80732
45877,1437744,430443
46078,1225731,218430
46279,1503963,496662
46482,1148300,140999
46684,999328,0
46887,1621353,614052
47086,1292487,285186
47285,904177,0
47488,1052680,45379
47691,859870,0
47888,1205829,198528
48091,1118126,110825
48289,1215023,207722
48491,1238438,231137
48692,1041912,34611
48896,1081814,74513
49095,1966646,959345
49295,1253985,246684
49496,1171219,163918
49695,1029555,22254
49901,1190113,182812
50101,1574157,566856
50312,1377711,370410
50501,1413969,406668
50701,1561575,554274
50905,1189603,182302
51104,1471380,464079
51307,776908,0
51505,1329302,322001
51709,1107523,100222
51912,1062764,55463
52110,1239923,232622
52314,759059,0
52511,1411467,404166
52712,1079804,72503
52914,1409021,401720
53117,568765,0
53318,978492,0
53520,1041956,34655
53674,809961,0
53887,1323367,316066
54071,1241411,234110
54277,753626,0
54475,1652835,645534
54678,1328569,321268
54879,1199191,191890
55076,1207853,200552
55275,1331827,324526
55475,538175,0
55677,1277684,270383
55877,868808,0
56078,1968545,961244
56280,1352348,345047
56481,404456,0
56682,2033006,1025705
56890,934802,0
57091,843786,0
57295,1462062,454761
57495,1229970,222669
57696,1166927,159626
57897,1292504,285203
58098,1307058,299757
58304,1102973,95672
58503,899596,0
58706,1010136,2835
58904,599184,0
59112,916309,0
59307,1175450,168149
59504,2382386,1375085
59705,2156000,1148699
