Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1222744.9866220737,264528.8160535117
1159781.2039473683,264254.2927631579
1094378.4849498328,188898.24080267557
1155934.6393442622,208474.8
1212447.3712374582,184147.70234113713
1300948.81270903,339623.9498327759
1108768.1070234114,249963.70568561874
1114624.5719063545,222678.44147157192
1159299.1371237459,133385.1137123746
1177661.6166666667,168489.43
1125599.0167224081,164437.4481605351
1099727.85,462638.3333333333
1076375.4093959732,255789.62416107382
1109293.1233333333,187850.85333333333
1075389.9297658864,107165.0
1087253.0702341136,126446.63210702341
1281598.204013378,246952.4314381271
1187992.575250836,334024.6321070234
1244178.1739130435,355915.48160535115
1263707.7090301004,246192.03010033444
