Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
84,1200458,144526
195,1871046,815114
401,1684624,628692
591,1613804,557872
797,868582,0
997,868789,0
1204,1037395,0
1401,1326765,270833
1598,2050418,994486
1813,1086953,31021
2003,1251103,195171
2202,1240459,184527
2402,1541222,485290
2607,1198393,142461
2819,1055684,0
3008,1677454,621522
3206,1713304,657372
3407,1205696,149764
3616,1188806,132874
3808,1315892,259960
4020,956945,0
4220,1397420,341488
4410,1211778,155846
4611,1287505,231573
4812,1298320,242388
5024,1148980,93048
5219,1275337,219405
5423,1164506,108574
5617,1323649,267717
5827,1156406,100474
6020,998464,0
6233,1160138,104206
6428,1185052,129120
6637,773301,0
6839,1186119,130187
7040,1159483,103551
7236,1042129,0
7435,797920,0
7635,720753,0
7835,1050877,0
8033,1417948,362016
8242,1161266,105334
8435,1635902,579970
8646,1142520,86588
8852,1126144,70212
9051,1128757,72825
9251,954827,0
9455,1137221,81289
9655,1105242,49310
9858,1115693,59761
10060,1115693,59761
10248,1227587,171655
10461,1098275,42343
10650,1429864,373932
10860,1173910,117978
11052,1343691,287759
11254,1215423,159491
11462,1166126,110194
11655,1304990,249058
11858,1280254,224322
12061,1261101,205169
12262,1228605,172673
12472,958311,0
12672,1147796,91864
12862,1193854,137922
13064,1278659,222727
13267,1185961,130029
13475,1239849,183917
13621,1212383,156451
13829,1091475,35543
14026,1188806,132874
14234,1123531,67599
14426,910782,0
14637,953086,0
14836,1172413,116481
15032,1059730,3798
15227,1350861,294929
15442,1095662,39730
15639,1026829,0
15832,1389355,333423
16048,1091308,35376
16245,1159022,103090
16448,1066330,10398
16648,830540,0
16856,1180023,124091
17040,1362880,306948
17255,1062652,6720
17441,1703164,647232
17642,1357596,301664
17855,1093920,37988
18054,1198876,142944
18244,1412247,356315
18453,1174226,118294
18655,1034383,0
18861,827214,0
19063,1108726,52794
19259,1177466,121534
19453,1581773,525841
19661,794836,0
19867,329239,0
20062,1182071,126139
20259,1915449,859517
20476,1578259,522327
20676,1160480,104548
20864,1057537,1605
21068,1212383,156451
21268,1177963,122031
21477,884338,0
21681,1138337,82405
21876,1169366,113434
22082,1109597,53665
22274,1199963,144031
22471,1060706,4774
22685,1153443,97511
22888,1121789,65857
23089,1194829,138897
23277,1281804,225872
23495,1076586,20654
23686,1244199,188267
23891,1134473,78541
24092,1118851,62919
24293,1159646,103714
24498,1132077,76145
24689,1270000,214068
24902,1106984,51052
25089,1262137,206205
25304,1109597,53665
25498,1166126,110194
25644,1205870,149938
25856,1122660,66728
26059,1115122,59190
26257,708739,0
26458,744856,0
26661,610767,0
26854,744729,0
27054,1061899,5967
27264,632051,0
27459,705427,0
27661,682540,0
27860,697946,0
28058,655257,0
28268,664927,0
28470,602058,0
28671,789960,0
28870,425417,0
29071,685017,0
29262,814199,0
29463,730207,0
29671,679507,0
29874,710287,0
30066,985574,0
30267,1516861,460929
30481,1145220,89288
30682,1118306,62374
30887,853970,0
31079,1152533,96601
31288,1115693,59761
31482,1166126,110194
31677,1395644,339712
31888,1108884,52952
32084,1200146,144214
32283,1146921,90989
32481,1602989,547057
32677,1310440,254508
32879,1154786,98854
33082,1062087,6155
33283,1036107,0
33484,654587,0
33685,670434,0
33886,747187,0
34087,764824,0
34288,708627,0
34491,674701,0
34691,724897,0
34891,890587,0
35092,768381,0
35293,695128,0
35496,367306,0
35697,449504,0
35901,591333,0
36106,1384987,329055
36306,1281482,225550
36504,758536,0
36705,668167,0
36908,710725,0
37107,930127,0
37308,1194816,138884
37507,1232736,176804
37709,1160359,104427
37910,1219167,163235
38111,1177103,121171
38323,1036671,0
38475,184993,0
38675,1196906,140974
38878,1195286,139354
39085,1118388,62456
39286,1105242,49310
39474,2182137,1126205
39687,1229930,173998
39888,1107855,51923
40077,1329350,273418
40284,1190785,134853
40485,1286632,230700
40688,1231375,175443
40890,630441,0
41095,919204,0
41293,668167,0
41498,610958,0
41688,1097213,41281
41903,616863,0
42107,634281,0
42306,470647,0
42509,600316,0
42698,1042935,0
42897,354077,0
43102,694308,0
43313,615121,0
43504,1031645,0
43716,700955,0
43903,1389576,333644
44119,613380,0
44321,614251,0
44519,672832,0
44714,692467,0
44921,624240,0
45110,1074768,18836
45322,503658,0
45519,127814,0
45723,685987,0
45915,1440562,384630
46131,802545,0
46330,677802,0
46531,622633,0
46720,959489,0
46941,640978,0
47137,646182,0
47337,632540,0
47525,1384414,328482
47726,858989,0
47924,823138,0
48130,773769,0
48345,542191,0
48544,679883,0
48744,1113951,58019
48937,1448157,392225
49148,1537253,481321
49349,1155239,99307
49548,1173897,117965
49752,1127015,71083
49944,1103545,47613
50142,1339077,283145
50293,957222,0
50510,513870,0
50709,650829,0
50904,689004,0
51098,1139696,83764
51312,529820,0
51508,681359,0
51716,628185,0
51903,831287,0
52109,764846,0
52319,579140,0
52519,668875,0
52715,692467,0
52927,692773,0
53118,1045531,0
53318,737412,0
53525,684367,0
53727,710287,0
53930,685987,0
54135,620347,0
54338,604670,0
54526,1655336,599404
54730,646479,0
54943,610468,0
55138,668875,0
55342,651021,0
55531,970697,0
55743,660067,0
55941,708667,0
56139,702627,0
56348,521708,0
56538,743592,0
56739,670071,0
56951,195148,0
57148,711907,0
57360,662468,0
57548,1271062,215130
57758,709938,0
57959,354525,0
58161,618605,0
58361,611638,0
58551,1360344,304412
58752,814557,0
58955,732995,0
59161,751730,0
59356,1011697,0
59569,591929,0
59760,1002288,0
