Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
947049.3177257525,102024.44816053512
935233.4113712375,146393.58193979933
1054005.5585284282,71578.39799331104
1203339.2842809365,72097.21739130435
1155297.5451505017,221978.2575250836
927844.5033333333,34955.253333333334
1046183.1366666667,232732.3
1003807.5852842809,104806.48160535117
1155312.0234113713,289529.5150501672
1153181.9163879598,370238.5551839465
1140641.0401337792,184339.5618729097
999229.4233333333,186703.53333333333
994686.2733333333,51091.24
992116.0866666667,157740.95666666667
1181584.5789473683,225518.00657894736
1096547.8695652173,180060.70903010035
976257.3,73773.36666666667
969326.2173913043,49798.90969899666
962182.7533333333,158134.27666666667
966141.8466666667,187591.90666666668
