Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
171,1737886,417889
374,1475444,155447
569,1355776,35779
770,1124737,0
973,926376,0
1174,888107,0
1380,636032,0
1577,1205555,0
1782,1193884,0
1973,1932198,612201
2174,2137119,817122
2373,2795532,1475535
2575,1892187,572190
2777,1497549,177552
2982,1035124,0
3183,805089,0
3384,913979,0
3594,101731,0
3795,160380,0
4001,90385,0
4202,244823,0
4410,82736,0
4605,101471,0
4802,278899,0
5006,371001,0
5208,942392,0
5413,1103640,0
5601,1324243,4246
5803,1245578,0
6003,1681384,361387
6208,1321673,1676
6415,389115,0
6605,1335440,15443
6809,373344,0
7009,496336,0
7215,2059830,739833
7415,2335851,1015854
7613,1797387,477390
7815,2176427,856430
8014,2908072,1588075
8217,2107546,787549
8420,2451036,1131039
8613,1844015,524018
8815,1333056,13059
9016,3030171,1710174
9216,2481098,1161101
9417,1788417,468420
9617,2917005,1597008
9823,1765837,445840
10027,794611,0
10226,2586661,1266664
10431,663695,0
10629,1331742,11745
10828,2184199,864202
11031,2209647,889650
11233,3346149,2026152
11437,1637887,317890
11639,2009098,689101
11836,2629714,1309717
12040,3147856,1827859
12231,4433684,3113687
12432,3869183,2549186
12582,3243329,1923332
12783,3287692,1967695
12989,2764295,1444298
13190,2847157,1527160
13389,2344663,1024666
13596,2848166,1528169
13797,2759900,1439903
13995,2555161,1235164
14195,1944489,624492
14399,2767635,1447638
14605,1684820,364823
14819,704260,0
15012,308620,0
15208,946131,0
15406,684749,0
15611,1135688,0
15808,176209,0
16016,325036,0
16226,184453,0
16410,955925,0
16612,1295215,0
16817,2009128,689131
17012,1878476,558479
17215,1014896,0
17417,753135,0
17622,1799378,479381
17820,2860279,1540282
18015,2362929,1042932
18215,1561921,241924
18415,2020012,700015
18621,573496,0
18822,224712,0
19034,442892,0
19235,250701,0
19435,462892,0
19629,2274014,954017
19834,2436402,1116405
20030,3023555,1703558
20235,3346362,2026365
20432,2355768,1035771
20641,1453230,133233
20843,1267298,0
21040,1505647,185650
21237,1592309,272312
21439,2075038,755041
21634,2445715,1125718
21835,3273453,1953456
22036,2941279,1621282
22240,2297584,977587
22437,2600117,1280120
22643,3046787,1726790
22845,1111647,0
23054,596047,0
23246,1421011,101014
23449,2221085,901088
23654,1476027,156030
23851,2872952,1552955
24054,1567669,247672
24254,2686029,1366032
24455,1275931,0
24656,1235717,0
24855,1797305,477308
25068,429649,0
25273,152383,0
25471,155520,0
25667,127979,0
25873,83690,0
26017,205185,0
26220,135692,0
26422,133781,0
26618,534551,0
26818,229402,0
27032,114934,0
27221,738077,0
27423,869529,0
27628,901924,0
27838,900044,0
28034,1148724,0
28227,2047795,727798
28432,1430539,110542
28631,1481399,161402
28824,3227711,1907714
29027,2936394,1616397
29235,2306604,986607
29435,2798465,1478468
29643,3056424,1736427
29831,4805164,3485167
30034,3783296,2463299
30236,4198333,2878336
30440,3189934,1869937
30636,3936718,2616721
30838,3349587,2029590
31039,3415709,2095712
31239,3958580,2638583
31440,3560286,2240289
31640,3890024,2570027
31842,3116073,1796076
32044,4194971,2874974
32244,3480072,2160075
32447,3682130,2362133
32646,2974938,1654941
32854,1673808,353811
33068,389137,0
33256,829115,0
33469,981862,0
33661,1434293,114296
33862,1474543,154546
34061,3065167,1745170
34258,2126747,806750
34460,1808037,488040
34670,1385240,65243
34865,1754331,434334
35074,469100,0
35268,799751,0
35468,1537476,217479
35672,1570276,250279
35865,1130700,0
36069,1812169,492172
36268,1409781,89784
36467,1798072,478075
36674,3562264,2242267
36877,3038336,1718339
37070,1821940,501943
37272,1841451,521454
37472,2764113,1444116
37674,2501257,1181260
37874,2265057,945060
38076,2706459,1386462
38277,1882953,562956
38482,1369700,49703
38632,1214882,0
38834,300659,0
39050,182473,0
39249,566221,0
39438,1394061,74064
39642,1223729,0
39846,814256,0
40043,1488998,169001
40242,2284556,964559
40442,1773913,453916
