Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1883808.8167701864,548844.2142857143
2041269.664556962,1111117.335443038
1685231.920886076,828421.8924050633
1827424.3838709677,364319.32258064515
1394659.3612903226,490635.5935483871
1566388.459807074,387514.75884244376
1651580.2770700636,691478.8057324841
1369191.5096153845,498688.03525641025
1663288.5512820513,638351.3878205129
1421714.7579617833,462404.6178343949
1652305.3470031547,488324.9842271293
1753469.0476190476,754513.4698412699
1348325.375,675556.4134615385
1696008.4129032257,640256.8225806452
1521827.837060703,559475.4792332269
1872183.4476190477,1048697.7333333334
1468024.0647249192,775116.4368932039
1734636.6261980832,810569.233226837
1560259.1548387096,647264.8516129032
1635603.7612903225,389123.4709677419
