Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
39,312368,0
195,1133317,804178
395,750908,421769
605,177203,0
812,165715,0
998,448771,119632
1209,255643,0
1414,204308,0
1609,393722,64583
1820,129457,0
2024,162199,0
2219,295007,0
2429,138712,0
2616,325724,0
2825,173604,0
3012,1020577,691438
3213,819814,490675
3428,92471,0
3635,125974,0
3834,139908,0
4026,267058,0
4228,269633,0
4428,292949,0
4632,252812,0
4838,153843,0
5035,157981,0
5239,132942,0
5439,166651,0
5631,325724,0
5843,218187,0
6039,289125,0
6244,166229,0
6443,241225,0
6646,241225,0
6844,252812,0
7047,207205,0
7239,1604548,1275409
7438,1300211,971072
7639,1596961,1267822
7855,103330,0
8049,278959,0
8250,256635,0
8457,179183,0
8658,202616,0
8863,132070,0
9061,151286,0
9205,335895,6756
9412,199300,0
9609,274296,0
9819,188977,0
10023,136425,0
10219,241225,0
10420,199105,0
10625,155026,0
10821,256275,0
11028,165792,0
11218,628303,299164
11432,139012,0
11624,285693,0
11834,168024,0
12032,218545,0
12244,175835,0
12431,384821,55682
12640,262484,0
12837,233701,0
13038,297613,0
13243,171916,0
13437,374972,45833
13649,159097,0
13844,285954,0
14056,175835,0
14259,247705,0
14458,126845,0
14659,147747,0
14849,332290,3151
15059,164677,0
15258,203965,0
15456,285954,0
15654,358556,29417
15865,169140,0
16062,267718,0
16259,329007,0
16473,127553,0
16666,271924,0
16866,750496,421357
17080,174719,0
17277,214305,0
17483,189226,0
17672,499733,170594
17888,175835,0
18080,216925,0
18280,295281,0
18490,153518,0
18626,563472,234333
18838,218545,0
19045,143392,0
19235,386059,56920
19447,137867,0
19649,187861,0
19839,752979,423840
20055,128587,0
20250,194006,0
20447,299389,0
20651,239605,0
20857,176736,0
21058,140779,0
21260,186994,0
21463,159976,0
21656,291271,0
21865,247482,0
22067,139037,0
22264,260457,0
22469,184762,0
22661,425142,96003
22872,170256,0
23067,229878,0
23273,234745,0
23465,1486633,1157494
23676,145707,0
23875,181284,0
24075,267221,0
24270,438797,109658
24479,197485,0
24681,308582,0
24889,158987,0
25086,181415,0
25289,225025,0
25487,203965,0
25693,173892,0
25891,239605,0
26090,257975,0
26304,184479,0
26492,405620,76481
26702,216925,0
26902,175835,0
27107,218411,0
27297,378255,49116
27497,243858,0
27696,368405,39266
27913,215941,0
28050,355418,26279
28257,256635,0
28456,260457,0
28656,295281,0
28869,166908,0
29068,161709,0
29264,341473,12334
29473,131199,0
29672,176951,0
29865,368405,39266
30078,304608,0
30274,225025,0
30467,528563,199424
30680,130486,0
30878,246085,0
31074,250210,0
31278,250901,0
31482,226645,0
31679,330256,1117
31884,229873,0
32080,352629,23490
32277,1201426,872287
32485,472469,143330
32688,213684,0
32896,176951,0
33096,168024,0
33288,374972,45833
33502,185453,0
33697,236683,0
33899,290235,0
34101,212065,0
34302,233125,0
34506,165792,0
34705,210445,0
34902,453758,124619
35115,218545,0
35310,300592,0
35520,210445,0
35712,271924,0
35916,240986,0
36120,169140,0
36323,165792,0
36517,269633,0
36723,204565,0
36925,201500,0
37120,299944,0
37332,160239,0
37525,292947,0
37727,250945,0
37929,236365,0
38130,178574,0
38335,148782,0
38532,192625,0
38692,206384,0
38883,310934,0
39084,246316,0
39290,248213,0
39494,178067,0
39687,567972,238833
39888,413862,84723
40101,154442,0
40302,152972,0
40503,174719,0
40698,252565,0
40904,284618,0
41097,493654,164515
41310,127853,0
41511,168313,0
41707,225025,0
41906,247079,0
42105,276628,0
42308,297613,0
42509,290618,0
42712,252812,0
42920,137758,0
43111,335573,6434
43307,654902,325763
43518,127853,0
43711,425464,96325
43914,229995,0
44115,299944,0
44311,448163,119024
44525,125103,0
44727,122490,0
44924,164677,0
45128,139037,0
45318,411087,81948
45531,120748,0
45718,518589,189450
45932,113890,0
46129,236837,0
46323,407804,78665
46524,344262,15123
46736,112039,0
46930,280115,0
47129,355272,26133
47339,163561,0
47534,277658,0
47743,138167,0
47945,195999,0
48146,159097,0
48346,256635,0
48544,212065,0
48744,225024,0
48944,241345,0
49153,154361,0
49355,144808,0
49552,159964,0
49745,394671,65532
49954,194703,0
50152,285302,0
50354,254724,0
50506,352629,23490
50702,458745,129606
50915,119877,0
51115,218242,0
51314,191458,0
51509,352629,23490
51716,226645,0
51915,197485,0
52114,335573,6434
52322,174719,0
52520,242845,0
52727,152972,0
52927,157981,0
53119,345423,16284
53326,203965,0
53524,323261,0
53735,133649,0
53932,302276,0
54131,231790,0
54337,166908,0
54535,322610,0
54743,131199,0
54938,258546,0
55139,210445,0
55342,254344,0
55539,306939,0
55744,202345,0
55940,341473,12334
56137,593394,264255
56342,305216,0
56548,288902,0
56753,143475,0
56956,209063,0
57150,256635,0
57350,360567,31428
57549,538537,209398
57756,181284,0
57959,207931,0
58160,287177,0
58370,128587,0
58565,360187,31048
58763,287815,0
58966,226056,0
59169,233701,0
59377,191174,0
59569,967420,638281
59768,1418991,1089852
59985,943164,614025
