Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
267070.06333333335,65725.09666666666
273310.5880398671,54226.89700996678
273420.18333333335,112157.32666666666
303111.99,66131.85666666667
270768.3244147157,18216.023411371236
281348.58528428094,46172.69899665552
286275.19,51506.71666666667
268805.11666666664,43504.496666666666
272493.13333333336,97382.38333333333
301725.25,129770.48666666666
284463.4617940199,73137.1561461794
266631.3853820598,77489.26245847176
270229.0233333333,20783.796666666665
278131.79,42110.17
265797.93,34858.98
273909.5966666667,101061.07666666666
264794.3920265781,45161.24252491695
274246.9069767442,23686.730897009966
273638.8338870432,53832.72093023256
283457.7424749164,39946.38461538462
