Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
5,825421,146556
187,1954573,1275708
388,1816299,1137434
589,1206378,527513
790,1026518,347653
996,1714758,1035893
1199,1413640,734775
1401,352061,0
1600,1100346,421481
1801,1272181,593316
2000,1551623,872758
2201,1516067,837202
2404,1427367,748502
2605,1050534,371669
2806,1256327,577462
3008,1433322,754457
3210,2292700,1613835
3411,1375554,696689
3609,1605546,926681
3812,819763,140898
4013,1051689,372824
4214,922492,243627
4413,1156476,477611
4614,1524421,845556
4816,1830024,1151159
5019,872554,193689
5217,1333169,654304
5419,1788824,1109959
5619,1575628,896763
5821,1390311,711446
6022,1131169,452304
6228,718581,39716
6427,945526,266661
6625,1870046,1191181
6826,1061842,382977
7027,1412826,733961
7228,981856,302991
7429,1279732,600867
7630,1096333,417468
7836,1057583,378718
8032,1106742,427877
8234,1206690,527825
8434,1266761,587896
8635,791379,112514
8837,1422166,743301
9037,1256975,578110
9242,1251197,572332
9441,1661732,982867
9642,1499767,820902
9840,1140293,461428
10047,667995,0
10246,1366017,687152
10452,938468,259603
10653,1614912,936047
10847,1251761,572896
11049,1110135,431270
11249,1786835,1107970
11450,1865988,1187123
11652,887833,208968
11852,873620,194755
12053,1678754,999889
12252,1224273,545408
12455,2011476,1332611
12659,787575,108710
12858,882016,203151
13057,1252779,573914
13259,1576969,898104
13459,1040238,361373
13662,1474573,795708
13862,1508015,829150
14062,1174305,495440
14212,1900768,1221903
14425,827950,149085
14626,1298046,619181
14820,1522763,843898
15019,631065,0
15221,1116863,437998
15419,1202947,524082
15621,1359524,680659
15828,869810,190945
16025,561472,0
16226,908496,229631
16429,1133461,454596
16629,1727317,1048452
16830,1213044,534179
17030,1034013,355148
17231,1492926,814061
17432,1971428,1292563
17633,1169209,490344
17833,1961139,1282274
18037,1531288,852423
18238,1271236,592371
18441,774914,96049
18639,876071,197206
18842,992302,313437
19040,1289929,611064
19243,1066539,387674
19444,1145287,466422
19645,1953847,1274982
19845,1543406,864541
20049,1183327,504462
20248,1369095,690230
20452,1122422,443557
20652,1303660,624795
20851,817390,138525
21057,1480827,801962
21255,1773507,1094642
21458,1314319,635454
21658,1222767,543902
21852,1415512,736647
22053,1030548,351683
22253,552132,0
22456,1254854,575989
22655,1159021,480156
22857,1123145,444280
23057,1050513,371648
23259,1122273,443408
23462,1221965,543100
23666,1886480,1207615
23866,1376496,697631
24076,1305427,626562
24275,1123027,444162
24472,1535608,856743
24673,1238201,559336
24877,959295,280430
25079,683757,4892
25281,1374886,696021
25484,1505586,826721
25682,1412077,733212
25881,1554329,875464
26080,1492274,813409
26277,1731063,1052198
26480,1245075,566210
26678,1618698,939833
26830,979356,300491
27031,955403,276538
27231,1711912,1033047
27431,736750,57885
27634,1600396,921531
27834,1386280,707415
28036,1089475,410610
28242,1610805,931940
28441,1188045,509180
28646,1018562,339697
28850,618552,0
29047,1397201,718336
29246,1503512,824647
29447,1434746,755881
29650,2045381,1366516
29850,1021676,342811
30053,1726000,1047135
30252,825942,147077
30466,1303352,624487
30671,1334862,655997
30874,1795164,1116299
31070,1346305,667440
31258,1553676,874811
31461,1427599,748734
31663,1584259,905394
31862,1130122,451257
32065,1193085,514220
32265,693262,14397
32465,1493035,814170
32668,881356,202491
32870,1119979,441114
33076,1808669,1129804
33274,1171346,492481
33480,738505,59640
33677,1509531,830666
33875,1130540,451675
34084,955518,276653
34277,1538389,859524
34478,1309828,630963
34682,447535,0
34889,1120952,442087
35085,1299432,620567
35288,1570419,891554
35487,782673,103808
35686,1455922,777057
35889,842661,163796
36088,1133016,454151
36288,1083979,405114
36488,1825142,1146277
36704,1081413,402548
36897,1404474,725609
37099,1835440,1156575
37296,1079230,400365
37499,1086672,407807
37698,1329258,650393
37903,906884,228019
38098,1662458,983593
38305,1037672,358807
38502,1209102,530237
38701,1556861,877996
38904,1269355,590490
39107,1005054,326189
39304,1159999,481134
39456,1530699,851834
39661,1024126,345261
39858,1167454,488589
40064,1152572,473707
40261,1508935,830070
40462,1469039,790174
40664,1034013,355148
40865,1239477,560612
41067,1255433,576568
41265,1019273,340408
41477,550377,0
41667,1366350,687485
41869,1632399,953534
42070,1635363,956498
42270,1676990,998125
42472,1090313,411448
42671,1942747,1263882
42885,831012,152147
43076,1703689,1024824
43278,568019,0
43479,1592717,913852
43682,877922,199057
43882,926333,247468
44081,1269385,590520
44282,1173126,494261
44483,1552431,873566
44683,858600,179735
44894,962323,283458
45087,2230342,1551477
45289,1089400,410535
45489,1730499,1051634
45692,1753390,1074525
45895,664441,0
46092,967449,288584
46301,634417,0
46494,1462011,783146
46704,1154364,475499
46900,1042231,363366
47110,587584,0
47303,1273462,594597
47505,1599476,920611
47704,1026489,347624
47903,1203604,524739
48103,1423475,744610
48306,1064746,385881
48512,1148328,469463
48709,1478999,800134
48909,1473025,794160
49110,781837,102972
49313,1273465,594600
49513,1695444,1016579
49715,800642,121777
49913,1299370,620505
50114,1760560,1081695
50315,834754,155889
50525,1200877,522012
50718,1785278,1106413
50919,1547928,869063
51121,1068266,389401
51322,1777247,1098382
51524,1358328,679463
51729,931694,252829
51926,1117745,438880
52083,870981,192116
52282,676463,0
52480,764176,85311
52682,976161,297296
52881,1416116,737251
53081,1172076,493211
53281,1535860,856995
53484,1236205,557340
53688,1482662,803797
53889,1103810,424945
54087,1180334,501469
54287,1527262,848397
54490,1357969,679104
54690,1364115,685250
54895,1126095,447230
55093,1334081,655216
55294,797817,118952
55494,1182097,503232
55696,2064909,1386044
55895,1116978,438113
56098,1808160,1129295
56314,729223,50358
56504,1735461,1056596
56712,1430337,751472
56916,1338189,659324
57116,1360579,681714
57316,1248367,569502
57508,1878322,1199457
57720,1289622,610757
57914,1319410,640545
58111,1490817,811952
58319,1034105,355240
58512,1008692,329827
58713,1073196,394331
58915,1415186,736321
59116,1141864,462999
59318,1801066,1122201
59520,1389034,710169
59720,1491731,812866
59919,1668956,990091
,,
