Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1250408.8533333333,389547.18666666665
1286947.99,491802.8466666667
1258389.4966666666,381557.2
1290807.1933333334,226983.50666666665
1297895.73089701,451600.19601328904
1288742.1371237459,356033.0
1262319.4983388705,381411.27574750833
1284266.9163879598,296844.8461538461
1289348.6421404681,502991.9531772575
1365155.774834437,568254.3642384106
1327883.9833333334,243530.65
1287946.3578595319,549212.872909699
1305447.4551495016,495158.5049833887
1269640.8533333333,481316.0333333333
1271138.8733333333,596650.98
1307089.5747508307,240964.12956810632
1297472.4966666666,322938.33666666667
1308876.6466666667,387964.71
1300761.73,502066.26666666666
1312075.67,367493.24666666664
