Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,1167160,454886
196,1892557,1180283
396,1411072,698798
617,1120048,407774
803,1264422,552148
1017,1125546,413272
1215,1116401,404127
1416,877086,164812
1623,1100017,387743
1805,1265293,553019
2016,1131126,418852
2210,1197486,485212
2415,1135346,423072
2626,1099146,386872
2823,1095662,383388
3022,1173841,461567
3212,1964257,1251983
3416,1214220,501946
3618,1219378,507104
3829,1097404,385130
4027,1099146,386872
4220,1200275,488001
4423,1162118,449844
4622,1191398,479124
4818,1396861,684587
5033,1089566,377292
5232,1095418,383144
5434,1104371,392097
5630,1162886,450612
5828,1196061,483787
6039,1147041,434767
6228,1208570,496296
6440,1084340,372066
6640,1144516,432242
6842,1111339,399065
7041,1126662,414388
7240,1218398,506124
7446,1147917,435643
7646,1044363,332089
7842,1172606,460332
8049,1107855,395581
8253,1124430,412156
8443,1193730,481456
8647,1148306,436032
8856,1144590,432316
9056,1113080,400806
9255,1114388,402114
9465,1143400,431126
9661,1113951,401677
9860,1122199,409925
10067,1112318,400044
10264,1108726,396452
10465,1113080,400806
10664,1126662,414388
10866,1100888,388614
11067,1144516,432242
11271,1124402,412128
11471,1107855,395581
11667,1185566,473292
11876,1120048,407774
12077,1108726,396452
12279,1095662,383388
12479,1105242,392968
12675,1164506,452232
12880,1136705,424431
13033,1124402,412128
13225,1219378,507104
13437,1119177,406903
13630,1169366,457092
13832,1145066,432792
14035,1084780,372506
14237,1145632,433358
14440,1094791,382517
14642,1096533,384259
14843,1134732,422458
15043,1092178,379904
15246,1112209,399935
15446,1128894,416620
15649,1169752,457478
15851,1097404,385130
16051,1117626,405352
16253,1122588,410314
16449,1177466,465192
16654,1138579,426305
16849,1120072,407798
17057,1129555,417281
17252,1130486,418212
17459,1123315,411041
17660,1154013,441739
17863,1125328,413054
18067,1107855,395581
18264,1093707,381433
18467,1110468,398194
18669,1134473,422199
18869,1145632,433358
19074,1109597,397323
19272,1164506,452232
19483,1099146,386872
19680,1117435,405161
19881,1114822,402548
20085,1141168,428894
20269,1757707,1045433
20483,710995,0
20680,1164506,452232
20882,1172606,460332
21088,1107692,395418
21290,1113951,401677
21482,1193730,481456
21690,1141168,428894
21894,1127015,414741
22093,1131126,418852
22296,1134473,422199
22498,1123531,411257
22699,1141168,428894
22903,1111339,399065
23103,1100017,387743
23303,1114388,402114
23456,1164602,452328
23653,1166126,453852
23873,1058406,346132
24049,1584461,872187
24262,1091308,379034
24464,1118306,406032
24664,1154559,442285
24866,1120048,407774
25069,1108726,396452
25270,1105242,392968
25471,1109597,397323
25672,1151400,439126
25874,1135377,423103
26069,1169366,457092
26276,1114822,402548
26477,1092178,379904
26673,1140206,427932
26881,1112156,399882
27081,1112209,399935
27282,1134200,421926
27476,1179740,467466
27676,1203056,490782
27889,1125736,413462
28084,1136966,424692
28289,1099146,386872
28491,1105242,392968
28693,1129900,417626
28888,1170986,458712
29094,1148135,435861
29295,1113272,400998
29497,1115884,403610
29698,1071389,359115
29892,1438394,726120
30103,1096533,384259
30299,1146686,434412
30495,1289523,577249
30699,1172606,460332
30900,1158026,445752
31100,1156384,444110
31299,1207719,495445
31509,1109597,397323
31709,1114388,402114
31910,1093049,380775
32106,1156384,444110
32303,1123068,410794
32514,1105596,393322
32717,985153,272879
32907,1097967,385693
33116,1077549,365275
33305,1285241,572967
33519,965122,252848
33710,1074230,361956
33920,1002571,290297
34121,1131577,419303
34322,1113342,401068
34523,998925,286651
34716,1134224,421950
34925,1000829,288555
35126,980798,268524
35327,994733,282459
35531,986895,274621
35730,1024917,312643
35873,1289523,577249
36082,1131126,418852
36286,1116564,404290
36473,1963289,1251015
36681,871446,159172
36877,985783,273509
37091,1099146,386872
37283,1180706,468432
37485,1146686,434412
37692,1122199,409925
37888,1175846,463572
38090,1138615,426341
38296,1098275,386001
38505,1100017,387743
38693,1200146,487872
38895,1136966,424692
39093,1193823,481549
39303,1120919,408645
39504,1050459,338185
39703,1112156,399882
39900,1162886,450612
40099,1133107,420833
40307,1123315,411041
40512,1144516,432242
40709,1179086,466812
40911,1146828,434554
41119,1105242,392968
41320,1108726,396452
41520,1110468,398194
41716,1171673,459399
41927,1138937,426663
42120,1169366,457092
42324,1146686,434412
42526,1156003,443729
42730,1122171,409897
42935,1118306,406032
43131,1161254,448980
43322,1474747,762473
43539,1126144,413870
43731,1148306,436032
43932,1180706,468432
44139,1124430,412156
44338,1109844,397570
44544,1162886,450612
44739,1172606,460332
44946,1151211,438937
45143,1166126,453852
45299,1183140,470866
45492,1200724,488450
45706,1126662,414388
45906,1114822,402548
46105,1102629,390355
46299,1149926,437652
46506,1133357,421083
46707,1185136,472862
46907,1129256,416982
47109,1160054,447780
47313,1065264,352990
47509,1154786,442512
47717,1108726,396452
47916,1103500,391226
48111,1208642,496368
48320,1166834,454560
48515,1170986,458712
48715,1158026,445752
48917,1170986,458712
49122,1128894,416620
49326,1168928,456654
49533,1140053,427779
49716,1464773,752499
49932,1083469,371195
50119,1310176,597902
50333,1241880,529606
50534,918430,206156
50728,1161086,448812
50939,1114919,402645
51138,1138937,426663
51340,1199549,487275
51535,1172606,460332
51747,1132242,419968
51945,1108726,396452
52138,1183140,470866
52334,2222381,1510107
52535,1351888,639614
52744,1141826,429552
52945,1159646,447372
53153,1111339,399065
53360,1148980,436706
53548,1182326,470052
53754,1148980,436706
53953,1169615,457341
54153,1177466,465192
54350,1323482,611208
54560,1115721,403447
54761,1134473,422199
54966,1156791,444517
55167,1130499,418225
55360,1240363,528089
55566,1168788,456514
55769,1060910,348636
55971,1109597,397323
56111,1579474,867200
56324,1096533,384259
56521,1162161,449887
56727,1115693,403419
