Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1159504.6059602648,405278.6059602649
1156800.17,285038.6766666667
1125726.6046511629,74616.04318936876
1100944.7774086378,91573.67774086379
1155829.2933333332,419302.64
1122816.6555183947,426723.3110367893
1122589.0132890365,199615.95681063124
1159638.411960133,422013.4119601329
1144199.0333333334,204585.94333333333
1162819.6777408638,248648.3853820598
1137522.707641196,194557.2458471761
1171037.7176079734,432044.7707641196
1118144.6233333333,217322.60333333333
1112583.652173913,276976.08361204015
1139900.1966666668,431434.6
1153531.707641196,442273.19933554815
1148212.762541806,399831.07692307694
1157485.4,107757.64333333333
1107589.5747508307,206745.59800664452
1134504.7940199336,18272.93023255814
