Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
165,1901702,482252
370,1792904,373454
569,2551338,1131888
773,1459404,39954
969,1326218,0
1176,514760,0
1371,1485468,66018
1571,628120,0
1791,347304,0
1985,117166,0
2185,152778,0
2387,165997,0
2590,83690,0
2779,846071,0
2987,690577,0
3184,515656,0
3386,139319,0
3590,233164,0
3796,132840,0
3996,149040,0
4187,788710,0
4390,299220,0
4603,88442,0
4797,345182,0
5000,101634,0
5208,120514,0
5408,88153,0
5602,334886,0
5798,1552798,133348
6012,1324321,0
6206,1281065,0
6410,562393,0
6608,712936,0
6812,509862,0
7012,667902,0
7208,1293011,0
7413,341927,0
7613,381304,0
7815,339470,0
8012,1103888,0
8213,1388232,0
8417,1954173,534723
8617,1092245,0
8824,1334085,0
9042,1516460,97010
9219,2718299,1298849
9423,2587070,1167620
9616,2966681,1547231
9818,3238111,1818661
10019,847454,0
10225,1344657,0
10427,373368,0
10628,976177,0
10843,258157,0
11044,148977,0
11231,1089854,0
11433,661030,0
11587,813278,0
11786,2496226,1076776
11985,1947368,527918
12190,1209208,0
12389,1084280,0
12594,2004711,585261
12786,3320254,1900804
12986,3289945,1870495
13189,4236136,2816686
13388,3641987,2222537
13591,4571230,3151780
13791,3991911,2572461
13991,4239524,2820074
14199,3292157,1872707
14398,4060565,2641115
14605,3166821,1747371
14800,2527815,1108365
15004,1298764,0
15212,578762,0
15420,95965,0
15621,104892,0
15815,175827,0
16024,581033,0
16211,718129,0
16426,302797,0
16634,303637,0
16830,168480,0
17020,753058,0
17221,1272096,0
17442,1583421,163971
17623,2065054,645604
17828,951173,0
18026,2067894,648444
18226,2273440,853990
18430,2828331,1408881
18630,3426038,2006588
18833,2876171,1456721
19032,1154524,0
19234,1449277,29827
19439,1656328,236878
19634,2101081,681631
19833,2073489,654039
20035,2364938,945488
20235,1555693,136243
20438,1210576,0
20638,1602946,183496
20841,1235673,0
21038,1409431,0
21254,385760,0
21455,132395,0
