Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1316182.7716049382,559570.2098765433
1495457.2201257863,549245.0566037736
1287606.0154798762,360375.67182662536
1303429.059375,438954.190625
1725982.6538461538,583462.8365384615
1370800.4937106918,353471.4968553459
1429744.0804953561,402208.08049535606
1507258.0914826498,472747.9779179811
1362779.8797468354,410248.2151898734
1533501.003125,408273.728125
1443611.1308411215,754755.3738317757
1436943.8854489163,501424.93498452014
1483288.4664634147,565463.3201219512
1501058.3055555555,338297.99074074073
1238064.474522293,419843.7993630573
1507363.399390244,472473.63719512196
1413213.7320872275,740916.5607476636
1485779.9268292682,333801.8719512195
1429699.024691358,374229.8888888889
1522059.5361445784,287862.7891566265
